ID,WIDTH,HEIGHT,NEW_STACK
0,11,29,1
1,37,6,0
2,24,17,1
3,28,65,0
4,39,25,1
5,25,6,0
6,16,5,1
7,7,6,1
8,12,46,0
9,66,25,1
10,15,64,0
11,27,26,0
12,30,8,0
13,14,4,0
14,16,26,0
15,18,14,1
16,22,47,1
17,4,4,0
18,18,3,0
19,21,27,1
20,30,7,1
21,22,12,1
22,2,7,1
23,59,30,1
24,36,91,0
25,8,16,0
26,61,13,0
27,6,19,1
28,21,17,0
29,26,13,1
30,26,14,0
31,46,13,0
32,23,31,0
33,12,36,0
34,43,34,1
35,8,14,1
36,11,8,0
37,8,13,1
38,15,22,0
39,5,15,0
40,8,33,1
41,30,51,0
42,7,33,0
43,57,37,1
44,7,28,1
45,22,9,0
46,16,13,0
47,3,20,1
48,6,10,0
49,14,30,1
50,18,16,0
51,7,3,0
52,4,7,0
53,40,13,0
54,18,78,1
55,9,19,0
56,19,31,0
57,8,3,0
58,14,17,1
59,19,21,1
60,18,14,0
61,10,16,1
62,12,63,0
63,9,50,0
64,83,16,0
65,19,9,1
66,50,62,0
67,6,19,0
68,8,12,0
69,26,4,1
70,62,12,0
71,30,56,0
72,5,6,0
