ID,WIDTH,HEIGHT,GROUP
0,15,81,0
1,4,1,0
2,34,9,1
3,20,30,1
4,4,27,1
5,25,4,1
6,15,7,2
7,47,68,2
8,11,23,3
9,11,4,3
10,43,14,3
11,7,45,3
12,20,58,4
13,18,43,5
14,30,27,6
15,20,18,7
16,55,12,8
17,7,11,8
18,18,22,8
19,13,39,9
20,14,35,10
21,97,16,10
22,24,10,10
23,24,76,11
24,9,30,11
25,25,74,11
26,13,35,11
27,17,11,12
28,9,26,13
29,8,34,13
30,20,56,13
31,63,12,13
32,2,3,14
33,20,8,14
34,12,26,15
35,11,23,16
36,25,19,17
37,7,31,17
38,16,27,17
39,7,12,17
40,23,15,17
41,42,11,17
42,38,19,18
43,40,73,19
44,1,3,19
45,33,5,19
46,28,14,20
47,9,42,20
48,29,20,21
49,36,7,21
50,15,31,22
51,12,3,22
52,52,14,22
53,16,30,22
54,8,40,22
55,10,34,22
56,16,41,23
57,12,11,23
58,6,10,23
59,32,32,23
60,82,14,23
61,52,17,23
62,4,21,24
63,12,15,24
64,17,23,25
65,31,17,25
66,17,57,25
67,64,17,26
68,18,22,27
69,2,13,27
70,11,12,27
71,27,13,27
72,11,53,28
