ID,WIDTH,HEIGHT,GROUP
0,14,18,0
1,123,19,1
2,10,56,2
3,8,31,3
4,50,15,4
5,21,17,5
6,21,36,5
7,22,11,5
8,79,28,6
9,63,15,6
10,13,46,7
11,9,21,7
12,13,6,7
13,70,29,8
14,55,16,8
15,9,3,9
16,41,7,9
17,6,39,9
18,22,46,9
19,10,33,10
20,36,21,10
21,17,101,10
22,22,9,10
23,9,37,11
24,29,18,11
25,5,30,12
26,53,12,13
27,2,9,14
28,30,12,15
29,11,14,16
30,18,70,16
31,27,5,16
32,89,17,17
33,17,28,17
34,4,8,17
35,12,60,18
36,41,10,18
37,14,6,18
38,44,11,18
39,80,17,18
40,7,30,18
41,16,6,18
42,17,6,19
43,1,6,19
44,36,31,20
45,10,10,20
46,20,16,21
47,5,11,21
48,1,3,21
49,9,17,21
50,4,26,21
51,6,18,21
52,24,39,22
53,40,12,22
54,7,25,22
55,33,36,22
56,35,9,23
57,48,27,23
58,9,26,24
59,11,2,24
60,5,10,25
61,12,19,25
62,32,12,25
63,8,17,26
64,44,9,26
65,34,10,26
66,19,68,26
67,35,6,27
68,55,50,27
69,3,7,27
70,22,7,27
71,16,13,27
72,26,45,28
