ID,WIDTH,HEIGHT,NEW_STACK
0,9,61,1
1,26,4,1
2,28,71,0
3,54,10,0
4,58,29,0
5,26,20,1
6,5,10,1
7,24,13,0
8,11,7,0
9,37,57,1
10,93,20,0
11,15,72,0
12,34,51,1
13,6,11,0
14,12,4,0
15,57,15,0
16,48,23,1
17,33,17,0
18,10,30,1
19,26,31,0
20,14,41,1
21,38,21,1
22,18,74,0
23,32,9,0
24,25,77,1
25,5,12,0
26,16,3,0
27,49,86,1
28,18,20,0
29,17,33,0
30,4,8,0
31,23,4,0
32,16,63,1
33,7,18,0
34,31,12,0
35,27,23,1
36,59,19,0
37,23,18,1
38,15,8,0
39,23,11,1
40,50,41,1
41,21,18,0
42,20,20,0
43,55,52,0
44,27,53,1
45,12,6,0
46,64,14,1
47,45,11,0
48,29,26,0
