ID,WIDTH,HEIGHT,GROUP
0,36,14,0
1,10,2,1
2,6,1,2
3,5,1,3
4,4,18,3
5,7,2,3
6,30,42,4
7,7,11,4
8,7,11,4
9,4,4,4
10,6,5,4
11,29,16,5
12,8,11,5
13,2,4,5
14,55,15,5
15,12,8,5
16,13,6,6
17,4,25,6
18,10,60,6
19,35,7,6
20,12,7,6
21,7,20,7
22,19,21,7
23,33,7,8
24,2,2,8
25,36,12,8
26,27,94,9
27,16,14,9
28,50,24,9
29,47,9,9
30,28,15,10
31,13,10,10
32,14,6,11
33,11,21,12
34,12,75,12
35,18,3,12
36,22,64,13
37,47,12,14
38,8,5,14
39,8,3,14
40,65,17,15
41,4,25,16
42,13,4,17
43,14,4,17
44,22,56,18
45,41,27,18
46,34,102,18
47,7,33,18
48,7,21,18
49,14,11,18
50,23,25,19
51,15,7,19
52,8,46,20
53,37,29,20
54,110,16,20
55,11,7,21
56,21,55,22
57,4,14,22
58,31,20,23
59,6,20,23
60,5,21,23
61,56,19,23
62,22,8,23
63,13,9,24
64,22,7,24
65,2,10,25
66,16,68,26
67,35,11,27
68,18,5,28
69,16,41,29
70,13,56,29
71,13,34,29
72,5,3,29
73,5,12,29
74,11,12,30
75,11,12,31
76,24,35,31
77,6,22,31
78,12,27,32
79,9,35,32
80,4,24,32
81,23,49,32
82,5,9,32
83,20,21,33
84,3,15,33
85,18,116,34
86,14,10,34
87,4,5,34
88,7,22,34
89,2,10,34
90,28,5,35
91,56,9,35
92,8,2,36
93,18,15,36
94,4,11,36
95,27,8,37
96,4,1,37
