ID,WIDTH,HEIGHT,GROUP
0,26,57,0
1,4,9,1
2,21,6,2
3,20,28,3
4,6,33,4
5,44,19,4
6,26,7,4
7,57,17,5
8,23,72,5
9,10,39,5
10,2,11,5
11,5,3,6
12,6,6,6
13,60,28,7
14,2,10,7
15,3,19,7
16,24,21,7
17,39,16,8
18,22,35,9
19,13,4,10
20,64,19,11
21,35,13,12
22,22,31,12
23,18,49,12
24,8,17,12
25,3,13,12
26,52,43,13
27,61,25,14
28,12,13,14
29,24,52,14
30,112,22,15
31,5,7,15
32,50,12,16
33,10,4,16
34,25,14,17
35,19,10,17
36,56,29,18
37,8,5,19
38,8,38,20
39,7,2,21
40,4,4,21
41,35,33,22
42,6,4,22
43,14,34,22
44,68,11,22
45,6,11,22
46,10,36,23
47,48,9,23
48,5,20,24
49,9,38,25
50,24,10,26
51,29,37,27
52,51,17,28
53,32,9,29
54,41,8,30
55,19,25,31
56,18,47,32
57,5,32,32
58,10,9,33
59,30,7,33
60,31,5,34
61,13,11,35
62,19,41,36
63,38,35,37
64,13,13,38
65,24,4,38
66,24,94,39
67,21,25,40
68,29,8,41
69,34,23,41
70,32,11,41
71,12,2,42
72,10,41,42
