ID,WIDTH,HEIGHT,GROUP
0,5,19,0
1,49,8,0
2,10,18,0
3,17,58,1
4,10,3,2
5,13,88,3
6,14,59,4
7,27,12,5
8,61,22,6
9,65,13,6
10,14,60,7
11,91,14,7
12,5,20,8
13,3,13,9
14,39,23,10
15,42,11,10
16,9,3,10
17,18,16,10
18,30,9,10
19,9,31,11
20,3,2,12
21,28,96,13
22,27,49,14
23,16,24,15
24,5,16,16
25,18,29,17
26,26,7,18
27,8,47,18
28,81,21,19
29,21,41,19
30,37,9,20
31,20,28,21
32,4,21,22
33,8,23,22
34,1,5,22
35,90,30,23
36,9,15,23
37,4,11,24
38,42,11,25
39,23,4,25
40,9,12,25
41,54,12,26
42,23,86,27
43,4,23,28
44,69,27,28
45,30,19,29
46,13,5,30
47,30,9,30
48,9,8,31
49,19,14,31
50,23,68,31
51,42,10,32
52,19,49,33
53,58,20,34
54,25,9,34
55,14,35,34
56,18,55,34
57,5,23,35
58,18,10,36
59,4,9,36
60,79,16,37
61,51,8,37
62,12,32,38
63,4,8,38
64,34,6,38
65,4,2,38
66,35,23,38
67,11,4,39
68,7,23,40
69,31,7,40
70,15,21,41
71,9,3,42
72,33,22,42
