ID,WIDTH,HEIGHT,NEW_STACK
0,3,8,1
1,4,12,0
2,2,10,0
3,40,9,1
4,4,1,0
5,4,26,0
6,8,15,0
7,8,3,0
8,8,9,1
9,37,8,1
10,6,6,0
11,18,6,0
12,10,3,0
13,12,6,1
14,42,13,1
15,16,31,1
16,20,9,1
17,3,3,1
18,12,3,1
19,8,2,1
20,16,4,1
21,3,8,1
22,21,41,1
23,5,5,1
24,3,1,0
25,19,37,0
26,2,12,1
27,10,22,0
28,22,4,1
29,7,3,0
30,57,11,1
31,25,31,0
32,32,16,1
33,2,1,0
34,1,5,0
35,3,15,0
36,20,45,0
37,6,5,1
38,61,18,1
39,14,8,1
40,14,8,1
41,3,9,1
42,16,53,1
43,29,8,1
44,5,1,1
45,49,19,1
46,3,13,1
47,44,13,1
48,14,14,0
49,5,34,0
50,3,15,0
51,23,7,1
52,4,4,1
53,2,6,1
54,6,6,0
55,8,6,1
56,10,15,0
57,11,69,1
58,5,30,0
59,6,9,0
60,60,9,1
61,66,13,1
62,14,5,1
63,2,6,1
64,5,33,1
65,11,10,0
66,12,6,0
67,30,11,0
68,1,3,1
69,1,2,1
70,4,21,1
71,1,3,0
72,2,5,1
73,8,24,1
74,10,27,0
75,66,15,0
76,20,13,1
77,17,4,1
78,5,5,1
79,14,4,0
80,13,12,0
81,14,19,1
82,21,62,1
83,8,11,1
84,2,5,1
85,6,7,0
86,1,5,1
87,8,32,1
88,13,47,1
89,3,13,1
90,11,47,0
91,4,25,0
92,12,3,1
93,28,10,1
94,23,4,1
95,25,12,1
96,7,3,1
97,21,23,1
98,10,3,1
99,29,21,1
100,12,8,0
101,4,5,1
102,7,4,1
103,61,19,1
104,5,12,0
105,8,37,1
106,12,25,1
107,7,15,0
108,13,10,0
109,10,15,1
110,11,13,1
111,17,4,0
112,12,10,1
113,6,30,1
114,3,1,0
115,15,27,0
116,4,2,1
117,6,20,1
118,1,6,1
119,7,8,1
120,15,6,0
121,4,21,0
122,1,4,0
123,11,8,1
124,21,7,1
125,3,3,1
126,13,2,1
127,30,6,1
128,1,3,0
129,20,4,0
130,4,11,1
131,2,1,1
132,5,12,0
133,3,1,0
134,2,4,0
135,7,15,0
136,3,8,1
137,4,6,0
138,2,1,0
139,2,4,1
140,2,5,0
141,10,48,1
142,43,16,0
143,6,8,0
144,8,6,0
145,17,14,1
146,2,3,0
147,7,21,0
148,14,12,0
149,3,3,1
150,18,50,0
151,8,10,1
152,6,1,0
153,10,28,1
154,8,24,1
155,4,4,1
156,11,2,0
157,60,11,0
158,20,7,1
159,20,9,0
160,8,27,1
161,8,7,0
162,8,30,0
163,6,2,1
164,34,9,0
165,12,6,0
166,1,6,1
167,3,20,1
168,9,4,0
169,26,5,1
170,28,16,1
171,26,8,1
172,15,9,1
173,13,35,1
174,24,19,1
175,63,14,1
176,1,4,1
177,3,5,0
178,9,4,1
179,15,18,1
180,6,2,0
181,13,14,1
182,11,30,0
183,10,28,1
184,9,3,0
185,7,19,0
186,1,6,1
187,2,6,1
188,8,16,1
189,3,4,0
190,12,71,1
191,14,74,0
192,18,6,1
193,13,52,0
194,7,15,1
195,22,9,1
196,24,18,1
