ID,WIDTH,HEIGHT,GROUP
0,9,2,0
1,5,13,1
2,32,7,2
3,28,27,3
4,8,2,4
5,4,5,4
6,10,10,5
7,21,4,5
8,30,5,6
9,3,6,6
10,8,38,6
11,6,12,6
12,7,4,7
13,8,11,8
14,12,74,8
15,2,9,8
16,7,32,9
17,22,33,10
18,20,6,10
19,9,5,11
20,5,31,11
21,4,24,11
22,3,11,12
23,6,25,13
24,4,27,13
25,31,5,14
26,17,17,15
27,10,41,16
28,5,15,17
29,7,9,18
30,13,8,19
31,28,12,20
32,6,3,21
33,23,5,21
34,9,22,22
35,94,14,22
36,8,3,22
37,3,19,22
38,9,8,23
39,3,15,23
40,1,4,23
41,3,4,24
42,7,16,24
43,6,13,24
44,25,9,25
45,10,16,25
46,4,6,25
47,5,12,26
48,25,27,26
49,3,5,27
50,3,1,27
51,5,3,27
52,31,7,28
53,12,4,29
54,10,2,30
55,26,13,30
56,8,8,31
57,10,5,31
58,17,10,31
59,9,41,32
60,3,9,33
61,29,45,33
62,35,7,34
63,4,4,35
64,5,20,36
65,4,27,37
66,28,5,37
67,9,19,38
68,10,6,38
69,5,11,39
70,19,29,40
71,2,1,41
72,8,10,42
73,8,5,43
74,10,6,43
75,5,21,44
76,12,3,45
77,27,14,46
78,8,4,46
79,6,9,46
80,14,4,47
81,10,29,48
82,4,23,49
83,27,11,50
84,3,9,50
85,10,11,51
86,18,41,52
87,12,45,53
88,21,9,54
89,5,4,54
90,4,10,54
91,75,11,54
92,10,26,55
93,4,25,55
94,8,20,55
95,4,9,56
96,7,19,57
97,4,6,58
98,27,8,59
99,17,9,60
100,6,2,61
101,9,9,62
102,20,4,63
103,20,24,64
104,8,10,65
105,9,18,66
106,12,9,67
107,31,9,67
108,27,11,68
109,19,38,69
110,12,8,69
111,14,7,70
112,17,13,71
113,28,4,72
114,12,18,72
115,17,4,73
116,14,27,74
117,15,5,75
118,6,18,75
119,16,3,76
120,20,10,77
121,9,9,78
122,4,15,79
123,12,9,80
124,13,8,81
125,18,41,82
126,14,41,83
127,19,45,83
128,24,7,83
129,10,11,84
130,6,13,85
131,17,3,86
132,48,8,87
133,9,11,88
134,4,15,88
135,48,11,88
136,8,10,89
137,10,24,89
138,8,26,90
139,28,9,91
140,8,3,91
141,20,4,91
142,26,17,91
143,20,10,92
144,19,16,93
145,10,5,94
146,8,52,94
147,28,8,94
148,3,18,95
149,22,8,95
150,22,5,95
151,21,9,96
152,21,13,96
153,6,13,96
154,25,7,96
155,9,17,96
156,9,4,97
157,6,9,98
158,3,15,98
159,6,23,99
160,7,13,99
161,9,30,99
162,43,13,100
163,6,19,101
164,23,15,102
165,8,50,103
166,1,4,103
167,25,4,104
168,9,18,105
169,12,10,105
170,17,64,106
171,40,18,106
172,9,21,106
173,23,12,106
174,12,16,106
175,30,10,107
176,19,50,108
177,8,5,109
178,14,15,110
179,8,13,110
180,13,4,110
181,17,22,111
182,10,38,111
183,7,12,111
184,10,3,111
185,4,9,111
186,7,10,111
187,12,29,112
188,3,9,113
189,4,12,113
190,9,11,114
191,32,22,115
192,8,21,115
193,24,12,115
194,4,4,116
195,25,12,117
196,15,17,117
197,27,5,117
198,17,7,118
