ID,WIDTH,HEIGHT,NEW_STACK
0,15,80,1
1,1,3,1
2,4,1,1
3,14,78,1
4,15,40,1
5,11,11,1
6,9,16,1
7,1,4,1
8,17,35,1
9,3,9,1
10,12,7,1
11,101,19,0
12,22,18,1
13,2,1,1
14,21,21,1
15,5,14,1
16,8,34,1
17,20,22,1
18,4,8,1
19,37,11,1
20,25,7,1
21,6,1,1
22,7,3,0
23,12,19,1
24,8,25,1
25,66,16,1
26,36,7,1
27,7,18,1
28,13,2,1
29,10,20,1
30,39,21,1
31,12,44,1
32,2,12,1
33,27,27,1
34,10,2,1
35,15,35,1
36,11,62,1
37,14,15,1
38,2,13,1
39,30,74,1
40,22,40,1
41,105,32,0
42,26,12,1
43,8,19,1
44,48,11,0
45,12,47,0
46,37,49,1
47,1,3,1
48,6,16,1
49,17,76,1
50,2,9,0
51,19,16,1
52,12,18,0
53,19,9,0
54,5,19,1
55,11,32,0
56,1,2,0
57,23,24,0
58,19,18,1
59,18,7,0
60,5,19,1
61,17,76,0
62,7,26,1
63,31,14,0
64,50,16,1
65,4,18,0
66,18,8,1
67,29,37,1
68,10,8,1
69,5,8,1
70,36,6,1
71,2,5,0
72,70,20,1
73,7,16,1
74,9,29,0
75,3,4,0
76,19,3,1
77,19,4,1
78,9,16,1
79,68,16,1
80,71,35,1
81,10,13,1
82,17,16,0
83,20,10,1
84,14,37,1
85,6,2,1
86,7,32,1
87,10,22,1
88,9,15,1
89,7,40,1
90,25,4,1
91,12,6,1
92,11,11,1
93,5,22,1
94,20,8,1
95,5,25,0
96,12,12,1
