ID,WIDTH,HEIGHT,NEW_STACK
0,14,73,1
1,5,16,1
2,4,8,1
3,8,12,1
4,1,4,1
5,55,8,1
6,16,16,1
7,17,25,1
8,1,1,1
9,6,13,1
10,18,11,1
11,7,10,1
12,87,30,1
13,1,6,1
14,17,45,1
15,7,27,1
16,14,9,1
17,16,3,0
18,4,26,0
19,7,29,1
20,30,10,0
21,4,1,0
22,15,63,1
23,11,44,0
24,18,5,0
25,10,12,0
26,40,9,1
27,7,2,1
28,25,5,1
29,8,32,1
30,48,13,0
31,23,89,1
32,3,18,0
33,10,38,0
34,5,26,1
35,35,11,1
36,35,20,0
37,20,5,1
38,23,9,0
39,3,13,0
40,23,9,1
41,17,41,1
42,18,90,1
43,28,40,1
44,5,10,1
45,49,15,1
46,10,20,1
47,63,18,0
48,9,6,1
49,67,16,0
50,108,19,1
51,26,7,1
52,35,11,0
53,8,3,1
54,24,23,1
55,66,11,0
56,74,26,1
57,2,7,1
58,25,22,1
59,47,16,1
60,9,12,1
61,31,11,1
62,22,14,1
63,3,20,0
64,49,14,0
65,8,20,0
66,13,13,1
67,3,4,1
68,10,32,1
69,28,9,1
70,12,10,1
71,39,8,1
72,19,106,1
73,9,11,1
74,7,9,1
75,4,2,1
76,21,48,1
77,22,22,1
78,22,6,1
79,32,24,1
80,4,17,1
81,12,30,1
82,10,12,1
83,7,19,1
84,5,13,1
85,8,7,1
86,33,5,1
87,17,11,1
88,20,4,1
89,82,12,1
90,9,2,1
91,9,16,1
92,8,36,1
93,79,17,1
94,22,8,1
95,12,13,1
96,6,11,1
