ID,WIDTH,HEIGHT,GROUP
0,9,28,0
1,52,35,0
2,6,37,1
3,20,11,1
4,13,52,2
5,11,28,3
6,30,22,4
7,57,20,5
8,14,15,6
9,10,68,6
10,37,12,7
11,56,41,7
12,34,12,8
13,62,14,8
14,61,13,8
15,13,2,8
16,7,33,9
17,28,5,10
18,18,42,11
19,6,20,12
20,15,23,13
21,75,18,14
22,10,9,15
23,47,23,16
24,12,10,17
25,12,7,18
26,23,63,19
27,32,19,20
28,62,20,21
29,4,14,22
30,25,27,23
31,8,8,24
32,91,39,25
33,8,40,26
34,22,6,27
35,5,29,28
36,26,25,29
37,19,15,30
38,34,101,31
39,18,24,31
40,11,2,31
41,25,26,32
42,38,20,33
43,19,35,34
44,19,17,35
45,104,18,36
46,45,94,37
47,36,9,38
48,75,37,38
