ID,WIDTH,HEIGHT,GROUP
0,17,3,0
1,37,6,0
2,11,5,0
3,11,25,0
4,10,59,0
5,7,3,1
6,5,24,1
7,17,22,1
8,22,4,1
9,3,3,1
10,11,12,1
11,7,14,1
12,7,2,1
13,27,4,2
14,32,6,2
15,22,9,2
16,13,11,2
17,3,17,2
18,7,7,2
19,14,24,3
20,23,14,3
21,26,10,3
22,18,3,3
23,7,32,4
24,7,3,4
25,17,13,4
26,8,24,4
27,34,16,4
28,10,11,4
29,9,41,4
30,2,10,4
31,10,9,4
32,17,57,5
33,16,30,5
34,5,5,5
35,10,5,5
36,23,9,5
37,24,5,6
38,49,30,6
39,22,33,6
40,18,5,6
41,7,12,6
42,33,9,7
43,23,16,7
44,31,16,7
45,4,5,7
46,3,3,8
47,4,22,8
48,10,8,8
49,9,3,8
50,4,7,8
51,2,4,8
52,15,19,9
53,5,8,9
54,8,16,9
55,7,3,9
56,17,6,10
57,17,8,10
58,12,13,10
59,10,6,10
60,13,4,10
61,10,27,10
62,15,5,11
63,37,6,11
64,17,4,11
65,22,10,11
66,65,12,11
67,7,6,11
68,10,47,11
69,4,9,12
70,22,5,12
71,24,6,13
72,18,6,13
73,9,10,14
74,17,4,14
75,7,2,14
76,15,9,14
77,8,3,14
78,10,8,14
79,8,4,14
80,14,10,15
81,21,30,15
82,9,6,15
83,3,13,15
84,5,35,16
85,6,10,16
86,3,14,16
87,7,3,16
88,39,9,16
89,8,22,16
90,17,5,17
91,5,26,18
92,10,21,18
93,44,11,18
94,50,8,18
95,9,15,18
96,34,8,18
97,5,24,19
98,32,5,19
99,4,6,19
100,7,25,19
101,13,30,19
102,7,5,19
103,4,2,19
104,10,7,19
105,92,26,20
106,8,19,20
107,12,17,20
108,7,33,20
109,5,26,21
110,10,13,21
111,7,38,21
112,19,59,21
113,17,32,22
114,31,6,22
115,4,20,22
116,5,2,22
117,22,6,22
118,2,3,22
119,8,3,22
120,5,5,23
121,5,17,23
122,8,5,23
123,13,21,23
124,49,9,23
125,7,3,23
126,10,2,23
127,17,7,24
128,11,26,24
129,20,21,25
130,6,15,25
131,8,8,25
132,2,6,25
133,5,8,26
134,15,5,26
135,8,3,26
136,11,16,26
137,3,12,26
138,3,5,26
139,8,51,27
140,15,3,27
141,7,4,27
142,5,5,28
143,10,15,28
144,10,4,28
145,11,2,29
146,8,35,29
147,16,6,29
148,29,5,29
149,2,3,29
150,7,3,30
151,5,35,30
152,8,6,30
153,32,7,30
154,5,25,30
155,30,5,30
156,5,16,30
157,15,22,30
158,7,1,30
159,5,31,31
160,17,22,31
161,39,12,31
162,5,10,32
163,3,3,32
164,20,36,32
165,33,6,32
166,8,11,32
167,6,13,32
168,9,2,32
169,15,4,33
170,29,10,33
171,92,16,34
172,5,13,34
173,10,12,34
174,4,3,34
175,8,5,35
176,40,12,35
177,31,6,35
178,12,11,35
179,8,30,35
180,11,3,35
181,11,19,36
182,17,38,36
183,8,14,36
184,8,2,37
185,8,31,37
186,44,12,37
187,22,21,37
188,7,12,37
189,8,47,37
190,2,1,37
191,35,5,38
192,32,5,38
193,8,6,38
194,6,17,38
195,8,15,38
