ID,WIDTH,HEIGHT,NEW_STACK
0,9,23,1
1,5,19,0
2,4,10,1
3,3,3,0
4,30,5,1
5,1,1,1
6,15,5,1
7,2,8,1
8,5,4,1
9,5,3,1
10,9,7,1
11,15,9,1
12,55,12,1
13,11,3,1
14,1,2,1
15,14,4,1
16,5,17,1
17,5,5,1
18,4,24,1
19,5,15,0
20,7,22,1
21,4,4,0
22,1,5,1
23,2,10,0
24,6,7,1
25,11,9,1
26,11,26,1
27,2,3,1
28,4,4,1
29,8,10,0
30,6,2,1
31,4,4,1
32,39,7,1
33,2,8,1
34,2,9,1
35,6,3,1
36,1,1,1
37,29,10,1
38,9,6,0
39,2,3,1
40,30,24,1
41,5,26,1
42,2,5,0
43,4,3,1
44,3,4,1
45,9,19,1
46,5,6,0
47,45,8,0
48,13,9,0
49,7,16,1
50,50,11,0
51,6,39,1
52,6,36,0
53,8,26,0
54,8,29,1
55,6,28,0
56,1,1,0
57,2,9,0
58,20,5,1
59,10,2,1
60,26,4,1
61,13,4,1
62,18,7,0
63,33,10,1
64,20,6,0
65,11,2,1
66,6,12,1
67,2,2,1
68,6,1,1
69,3,3,1
70,9,2,1
71,25,4,1
72,33,8,1
73,22,4,1
74,2,6,1
75,7,20,1
76,17,9,1
77,3,2,1
78,2,5,1
79,23,6,1
80,13,11,1
81,3,15,1
82,6,2,1
83,2,2,1
84,2,3,1
85,1,3,1
86,13,5,1
87,5,30,1
88,8,16,1
89,3,7,1
90,11,5,0
91,4,6,1
92,26,15,1
93,5,6,1
94,3,5,1
95,3,2,1
96,2,11,1
