ID,WIDTH,HEIGHT,PROFIT,COPIES
0,16,80,1908,5
1,20,16,334,8
2,17,78,929,6
3,5,72,498,2
4,6,72,480,5
5,5,39,213,7
6,32,13,259,8
7,17,51,872,8
8,29,70,1565,9
9,40,66,1417,3
10,37,13,669,2
11,38,63,1404,7
12,31,26,613,4
13,32,53,1939,3
14,11,47,652,1
15,26,41,1543,1
16,22,37,814,3
17,16,34,523,6
18,20,25,277,8
19,37,23,1153,4
20,18,29,565,3
21,20,55,865,4
22,33,59,1204,6
23,34,46,1206,1
24,13,52,782,6
25,6,68,388,3
26,8,64,513,4
27,8,41,280,3
28,8,13,130,7
29,24,55,1436,3
30,7,75,499,1
31,38,50,1348,2
32,34,39,785,4
33,21,41,1072,9
34,16,75,991,9
35,5,38,176,6
36,25,55,998,9
37,21,10,232,9
38,38,27,968,9
39,24,25,638,1
40,32,35,1060,7
41,35,53,2494,7
42,33,39,940,3
43,27,80,2575,7
44,9,80,1066,9
45,9,52,333,1
46,32,73,1609,7
47,32,73,2236,6
48,6,38,274,4
49,35,46,2132,5
