ID,WIDTH,HEIGHT
0,5,3
1,4,3
2,4,4
3,4,3
4,3,3
5,4,5
6,3,13
7,3,8
8,4,5
9,3,10
10,3,5
11,47,7
12,4,3
13,3,40
14,5,3
15,3,5
16,4,3
17,3,4
18,3,4
19,4,9
20,5,3
21,4,4
22,8,7
23,4,5
24,3,20
25,47,4
26,3,3
27,4,32
28,3,39
29,15,50
30,5,5
31,11,3
32,3,3
33,24,4
34,3,3
35,3,3
36,5,3
37,3,5
38,19,17
39,12,27
40,4,5
41,3,4
42,4,4
43,4,3
44,3,4
45,4,28
46,4,3
47,8,3
48,10,5
49,22,4
50,4,15
51,4,5
52,28,5
53,3,3
54,3,6
55,3,5
56,28,11
57,3,5
58,6,54
59,8,4
60,5,5
61,19,6
62,9,5
63,3,3
64,4,5
65,3,3
66,3,3
67,3,4
68,9,4
69,3,4
70,3,3
71,3,5
72,3,4
73,3,5
74,6,5
75,4,4
76,4,3
77,4,3
78,7,3
79,16,5
80,44,35
81,4,3
82,12,23
83,3,3
84,7,3
85,4,4
86,10,3
87,4,9
88,3,54
89,18,4
90,3,5
91,5,3
92,28,7
93,9,5
94,3,8
95,3,35
96,10,5
97,5,3
98,3,5
99,3,14
