ID,WIDTH,HEIGHT
0,3,5
1,14,3
2,9,27
3,6,24
4,21,7
5,7,10
6,1,2
7,13,19
8,4,17
9,4,13
10,17,3
11,24,10
12,5,4
13,2,2
14,6,1
15,11,9
16,4,26
17,2,1
18,4,7
19,7,38
20,3,2
21,3,1
22,4,2
23,4,6
24,2,1
25,1,2
26,5,1
27,1,1
28,3,3
29,5,20
30,6,23
31,7,2
32,11,21
33,8,7
34,6,15
35,2,1
36,13,14
37,3,14
38,5,26
39,9,14
40,10,3
41,4,13
42,1,3
43,14,11
44,7,10
45,14,12
46,18,3
47,7,4
48,2,7
49,7,28
50,30,10
51,14,19
52,4,26
53,3,3
54,5,23
55,5,20
56,15,4
57,10,6
58,6,3
59,5,2
60,4,2
61,3,1
62,2,3
63,14,3
64,9,2
65,7,8
66,32,6
67,6,2
68,26,5
69,1,2
70,6,5
71,13,3
72,10,3
