ID,WIDTH,HEIGHT
0,54,12
1,39,23
2,17,58
3,90,30
4,12,32
5,42,11
6,81,21
7,58,20
8,4,23
9,25,9
10,3,13
11,14,35
12,11,4
13,9,15
14,5,23
15,15,21
16,18,10
17,13,88
18,5,19
19,42,10
20,49,8
21,9,3
22,13,5
23,4,11
24,14,60
25,37,9
26,5,20
27,79,16
28,5,16
29,4,8
30,42,11
31,19,49
32,9,8
33,33,22
34,34,6
35,27,12
36,7,23
37,4,21
38,26,7
39,23,4
40,9,3
41,14,59
42,18,16
43,16,24
44,27,49
45,8,47
46,8,23
47,19,14
48,3,2
49,1,5
50,51,8
51,10,3
52,30,9
53,28,96
54,9,31
55,30,19
56,18,55
57,20,28
58,23,86
59,10,18
60,9,12
61,21,41
62,4,2
63,4,9
64,31,7
65,23,68
66,18,29
67,69,27
68,91,14
69,35,23
70,61,22
71,30,9
72,65,13
