ID,WIDTH,HEIGHT
0,89,17
1,70,29
2,12,60
3,10,33
4,17,6
5,2,9
6,8,17
7,9,3
8,11,14
9,36,31
10,53,12
11,10,10
12,9,26
13,123,19
14,20,16
15,79,28
16,13,46
17,18,70
18,44,9
19,5,30
20,5,11
21,24,39
22,8,31
23,36,21
24,17,28
25,35,6
26,30,12
27,14,18
28,41,10
29,21,17
30,14,6
31,44,11
32,80,17
33,10,56
34,27,5
35,17,101
36,41,7
37,34,10
38,19,68
39,55,50
40,6,39
41,40,12
42,1,3
43,35,9
44,21,36
45,63,15
46,9,21
47,50,15
48,13,6
49,22,9
50,7,30
51,9,37
52,1,6
53,55,16
54,7,25
55,9,17
56,22,46
57,29,18
58,26,45
59,33,36
60,22,11
61,4,8
62,5,10
63,11,2
64,48,27
65,4,26
66,3,7
67,22,7
68,16,13
69,12,19
70,6,18
71,16,6
72,32,12
