ID,WIDTH,HEIGHT
0,19,10
1,5,14
2,16,12
3,6,7
4,2,9
5,46,9
6,48,9
7,16,23
8,35,8
9,7,13
10,2,6
11,4,2
12,26,37
13,9,5
14,6,4
15,26,18
16,20,29
17,4,7
18,15,9
19,24,8
20,5,14
21,16,37
22,3,4
23,14,15
24,2,1
25,10,14
26,16,32
27,8,33
28,2,6
29,2,2
30,8,5
31,13,4
32,3,8
33,17,4
34,9,17
35,4,4
36,27,16
37,11,5
38,10,8
39,6,3
40,1,4
41,50,11
42,5,10
43,1,1
44,5,10
45,6,3
46,2,9
47,16,7
48,21,9
49,9,27
50,14,33
51,16,29
52,10,56
53,11,5
54,8,2
55,11,14
56,34,7
57,1,3
58,7,11
59,12,8
60,76,23
61,7,5
62,7,11
63,3,6
64,6,2
65,22,10
66,2,4
67,4,14
68,3,10
69,10,11
70,6,1
71,6,36
72,1,6
73,17,16
74,5,10
75,9,6
76,13,11
77,8,30
78,2,7
79,1,1
80,11,6
81,18,5
82,7,47
83,2,6
84,12,48
85,4,27
86,9,20
87,5,31
88,17,18
89,6,41
90,20,37
91,27,61
92,53,28
93,16,41
94,6,13
95,11,38
96,18,10
97,5,32
98,14,21
99,25,7
100,2,12
101,12,54
102,14,53
103,10,26
104,8,22
105,11,25
106,17,26
107,8,5
108,11,4
109,9,19
110,10,21
111,17,15
112,7,9
113,9,2
114,2,3
115,5,3
116,3,3
117,6,1
118,8,2
119,31,9
120,6,4
121,5,7
122,13,4
123,13,3
124,27,9
125,93,18
126,16,44
127,38,22
128,12,67
129,15,9
130,93,14
131,15,26
132,3,1
133,11,51
134,15,50
135,10,16
136,7,6
137,5,7
138,16,49
139,21,11
140,5,17
141,42,21
142,25,12
143,5,11
144,2,1
145,7,10
146,6,12
147,9,8
148,6,6
149,4,6
150,6,1
151,18,5
152,12,10
153,10,29
154,18,5
155,11,14
156,7,3
157,6,6
158,5,5
159,20,3
160,2,8
161,16,19
162,7,4
163,2,12
164,6,5
165,1,3
166,7,10
167,13,5
168,19,5
169,6,7
170,11,18
171,6,20
172,17,3
173,13,8
174,7,2
175,3,16
176,24,9
177,3,16
178,15,5
179,17,5
180,2,2
181,8,3
182,12,14
183,10,6
184,29,8
185,22,4
186,8,7
187,16,10
188,3,4
189,19,9
190,26,8
191,32,5
192,4,5
193,7,2
194,13,3
195,11,3
196,13,3
