ID,WIDTH,HEIGHT
0,10,25
1,10,8
2,5,17
3,37,6
4,40,17
5,24,75
6,43,13
7,6,10
8,25,68
9,25,8
10,9,10
11,3,11
12,3,7
13,5,4
14,2,9
15,3,3
16,3,17
17,1,3
18,4,11
19,21,4
20,25,8
21,22,12
22,3,2
23,4,8
24,12,10
25,7,6
26,43,9
27,10,10
28,11,4
29,36,6
30,3,2
31,12,66
32,13,64
33,14,16
34,5,18
35,7,16
36,18,5
37,6,27
38,22,28
39,5,32
40,19,74
41,12,5
42,9,12
43,9,41
44,8,35
45,10,22
46,9,37
47,3,7
48,12,30
49,8,29
50,6,5
51,3,2
52,4,5
53,8,3
54,9,4
55,9,19
56,4,20
57,5,15
58,16,13
59,21,21
60,1,4
61,4,4
62,2,8
63,2,13
64,2,4
65,14,5
66,16,5
67,8,18
68,4,9
69,14,46
70,20,35
71,7,32
72,14,79
73,42,13
74,51,9
75,10,2
76,4,1
77,36,19
78,51,9
79,2,1
80,2,4
81,12,3
82,25,12
83,8,4
84,6,12
85,4,12
86,4,8
87,1,4
88,4,2
89,46,28
90,1,2
91,3,8
92,2,6
93,18,20
94,7,4
95,10,4
96,2,5
97,15,3
98,3,1
99,6,3
100,1,4
101,2,2
102,11,14
103,30,10
104,11,11
105,9,45
106,8,2
107,7,6
108,8,2
109,21,16
110,10,4
111,2,4
112,7,42
113,10,34
114,9,8
115,8,4
116,22,8
117,25,34
118,19,4
119,4,26
120,5,30
121,24,33
122,38,12
123,55,8
124,9,19
125,18,9
126,22,14
127,8,4
128,7,8
129,8,3
130,4,17
131,15,18
132,11,11
133,2,7
134,6,4
135,4,18
136,4,14
137,13,3
138,10,10
139,8,5
140,6,5
141,18,3
142,30,5
143,13,2
144,5,5
145,2,7
146,9,56
147,14,4
148,19,3
149,59,14
150,21,11
151,45,12
152,5,17
153,8,2
154,2,3
155,6,2
156,4,15
157,4,20
158,7,40
159,10,19
160,1,1
161,5,2
162,3,1
163,9,11
164,27,15
165,4,3
166,17,19
167,9,16
168,3,20
169,33,10
170,63,16
171,8,35
172,1,4
173,9,5
174,26,8
175,2,10
176,5,21
177,5,30
178,46,14
179,8,8
180,1,4
181,19,23
182,7,2
183,9,15
184,46,7
185,25,6
186,9,21
187,4,4
188,83,16
189,32,8
190,8,2
191,6,11
192,4,13
193,4,9
194,12,9
195,41,7
196,10,4
