ID,WIDTH,HEIGHT
0,54,16
1,38,11
2,18,29
3,22,75
4,11,16
5,6,23
6,8,27
7,43,12
8,9,56
9,29,18
10,7,15
11,21,10
12,15,6
13,11,49
14,7,29
15,11,51
16,11,63
17,14,51
18,9,45
19,2,7
20,3,4
21,6,17
22,6,4
23,10,5
24,14,4
25,2,13
26,4,23
27,8,38
28,5,1
29,9,19
30,2,11
31,13,9
32,15,18
33,26,6
34,21,24
35,7,32
36,16,3
37,3,16
38,8,10
39,2,2
40,11,9
41,11,15
42,5,13
43,4,7
44,3,20
45,4,23
46,8,54
47,16,85
48,14,45
49,13,54
50,8,2
51,40,14
52,5,14
53,5,31
54,7,36
55,14,3
56,6,34
57,5,12
58,9,26
59,13,27
60,34,7
61,14,38
62,13,54
63,5,33
64,7,37
65,8,18
66,15,8
67,4,10
68,27,24
69,5,19
70,3,1
71,8,3
72,1,5
73,2,2
74,10,3
75,5,8
76,10,2
77,14,6
78,2,13
79,9,16
80,5,2
81,14,15
82,9,13
83,5,9
84,13,13
85,3,7
86,2,5
87,7,19
88,2,1
89,15,18
90,9,2
91,7,3
92,36,11
93,11,51
94,18,4
95,3,8
96,15,10
97,9,7
98,8,27
99,6,28
100,13,27
101,41,6
102,2,9
103,3,6
104,4,4
105,2,8
106,1,2
107,5,29
108,7,13
109,6,15
110,18,40
111,16,6
112,4,1
113,44,11
114,1,2
115,3,10
116,26,10
117,4,8
118,20,5
119,14,67
120,30,29
121,6,20
122,5,30
123,9,10
124,30,6
125,16,16
126,4,8
127,3,2
128,9,6
129,21,4
130,9,11
131,12,21
132,12,27
133,4,1
134,9,35
135,3,8
136,10,34
137,10,34
138,30,7
139,3,1
140,13,27
141,32,12
142,5,14
143,5,7
144,8,26
145,4,25
146,2,10
147,2,7
148,3,14
149,29,15
150,14,25
151,9,5
152,7,12
153,16,11
154,5,5
155,11,9
156,3,14
157,9,6
158,7,15
159,1,4
160,6,3
161,3,11
162,6,7
163,2,6
164,3,9
165,2,1
166,4,4
167,3,3
168,21,8
169,21,5
170,18,3
171,13,4
172,65,22
173,50,10
174,30,16
175,27,9
176,49,11
177,1,6
178,17,4
179,2,5
180,3,3
181,13,16
182,6,18
183,2,2
184,1,6
185,2,9
186,15,5
187,4,4
188,31,5
189,20,4
190,6,1
191,74,14
192,71,13
193,36,11
194,11,8
195,2,2
196,8,6
