ID,WIDTH,HEIGHT
0,18,90
1,15,63
2,23,89
3,108,19
4,17,45
5,19,106
6,12,30
7,22,14
8,74,26
9,5,16
10,17,41
11,9,16
12,82,12
13,17,25
14,3,4
15,79,17
16,12,13
17,7,27
18,8,32
19,33,5
20,4,17
21,20,5
22,48,13
23,10,20
24,10,32
25,25,22
26,8,12
27,9,12
28,3,20
29,8,36
30,14,9
31,26,7
32,8,7
33,9,6
34,14,73
35,25,5
36,12,10
37,5,10
38,4,8
39,9,2
40,17,11
41,18,11
42,35,11
43,7,29
44,23,9
45,7,2
46,49,14
47,30,10
48,28,40
49,21,48
50,11,44
51,3,18
52,13,13
53,16,16
54,87,30
55,5,26
56,8,3
57,24,23
58,10,38
59,22,6
60,23,9
61,67,16
62,32,24
63,1,4
64,10,12
65,6,11
66,16,3
67,22,8
68,39,8
69,8,20
70,4,26
71,55,8
72,63,18
73,18,5
74,20,4
75,4,1
76,6,13
77,10,12
78,22,22
79,49,15
80,35,11
81,3,13
82,1,1
83,9,11
84,7,10
85,35,20
86,28,9
87,31,11
88,4,2
89,7,19
90,1,6
91,7,9
92,47,16
93,2,7
94,5,13
95,66,11
96,40,9
