ID,WIDTH,HEIGHT
0,15,72
1,15,47
2,67,11
3,56,39
4,6,35
5,11,17
6,8,20
7,22,8
8,8,12
9,3,16
10,11,9
11,9,61
12,47,7
13,11,11
14,5,18
15,6,22
16,5,7
17,6,14
18,25,21
19,22,4
20,16,11
21,33,17
22,8,7
23,4,8
24,26,110
25,11,4
26,58,12
27,56,21
28,21,102
29,6,25
30,9,51
31,16,11
32,30,5
33,12,9
34,4,6
35,26,16
36,68,12
37,20,10
38,21,26
39,20,12
40,49,16
41,6,28
42,11,3
43,37,12
44,9,18
45,2,9
46,5,14
47,15,4
48,39,9
49,64,10
50,32,7
51,16,26
52,99,21
53,38,19
54,23,32
55,6,37
56,22,54
57,25,36
58,50,27
59,27,22
60,8,41
61,66,23
62,8,5
63,15,3
64,18,12
65,9,4
66,6,2
67,9,6
68,5,8
69,4,18
70,15,19
71,8,5
72,14,4
73,48,13
74,14,14
75,23,10
76,5,18
77,10,23
78,51,11
79,58,14
80,7,12
81,10,9
82,16,12
83,13,3
84,35,9
85,34,12
86,17,25
87,3,3
88,7,23
89,10,20
90,109,18
91,7,7
92,6,6
93,44,13
94,3,1
95,3,12
96,10,11
