ID,WIDTH,HEIGHT
0,18,11
1,23,11
2,17,35
3,21,35
4,25,10
5,5,1
6,7,1
7,76,12
8,8,12
9,5,9
10,7,9
11,9,13
12,16,13
13,12,22
14,5,4
15,13,4
16,16,19
17,7,19
18,46,8
19,30,8
20,8,20
21,5,31
22,13,31
23,23,7
24,23,7
25,30,12
26,9,9
27,16,9
28,23,5
29,23,5
30,16,16
31,7,16
32,21,12
33,10,12
34,6,19
35,32,39
36,9,39
37,43,45
38,17,11
39,5,7
40,16,7
41,5,4
42,16,4
43,21,7
44,10,7
45,13,19
46,11,11
47,17,11
48,6,18
49,32,18
50,19,28
51,9,9
52,3,9
53,6,35
54,11,8
55,17,8
56,9,19
57,3,19
58,6,22
59,19,5
60,13,5
61,13,21
62,6,13
63,5,6
64,5,4
65,12,4
66,5,2
67,12,2
68,19,17
69,13,17
70,5,7
71,17,7
72,32,6
73,9,6
74,41,9
75,43,9
76,6,8
77,22,8
78,19,7
79,12,7
80,60,17
81,19,17
82,10,50
83,24,30
84,5,30
85,28,34
86,27,8
87,27,8
88,9,4
89,18,4
90,7,18
91,3,10
92,12,10
93,5,12
94,9,62
95,9,47
96,9,47
97,11,7
98,29,7
99,4,22
100,2,11
101,5,11
102,9,16
103,19,97
104,3,2
105,12,2
106,15,6
107,5,6
108,11,15
109,29,15
110,7,48
111,8,41
112,12,41
113,2,5
114,5,5
115,24,4
116,5,4
117,3,6
118,3,3
119,1,3
120,9,14
121,22,4
122,7,4
123,19,3
124,9,3
125,3,3
126,1,3
127,17,4
128,2,4
129,9,13
130,18,4
131,4,4
132,7,12
133,40,8
134,4,8
135,3,8
136,4,8
137,12,4
138,5,4
139,2,9
140,18,8
141,4,8
142,12,5
143,5,5
144,13,44
145,13,37
146,7,11
147,11,11
148,16,67
149,4,14
150,6,14
151,39,6
152,18,6
153,39,18
154,18,18
155,7,26
156,11,26
157,9,15
158,9,15
159,4,10
160,6,10
161,8,7
162,12,7
163,23,7
164,17,7
165,27,14
166,21,21
167,28,16
168,5,16
169,23,7
170,17,7
171,13,7
172,18,7
173,33,6
174,7,6
175,27,26
176,28,5
177,5,5
178,5,10
179,8,10
180,31,23
181,6,7
182,3,7
183,24,8
184,7,20
185,16,14
186,5,14
187,21,3
188,12,3
189,21,16
190,12,16
191,5,13
192,8,13
193,6,1
194,3,1
195,9,12
196,24,12
197,16,5
198,5,5
