ID,WIDTH,HEIGHT
0,19,50
1,8,50
2,8,8
3,9,8
4,8,2
5,10,2
6,10,29
7,17,22
8,32,22
9,9,22
10,6,9
11,21,9
12,3,15
13,10,5
14,30,5
15,8,11
16,10,11
17,10,10
18,30,10
19,8,5
20,9,5
21,6,13
22,21,13
23,17,64
24,10,26
25,8,26
26,3,18
27,40,18
28,17,7
29,32,7
30,9,11
31,27,11
32,4,23
33,6,23
34,14,7
35,35,7
36,10,6
37,3,6
38,5,11
39,14,15
40,4,15
41,12,74
42,12,29
43,19,29
44,14,41
45,22,8
46,13,8
47,10,38
48,8,38
49,10,5
50,3,5
51,22,33
52,5,13
53,8,13
54,8,10
55,3,9
56,2,9
57,5,31
58,14,27
59,4,27
60,10,41
61,9,41
62,8,52
63,4,25
64,6,25
65,3,1
66,2,1
67,8,21
68,5,21
69,5,20
70,8,20
71,12,45
72,19,45
73,18,41
74,18,41
75,7,12
76,28,12
77,6,13
78,25,9
79,28,9
80,25,4
81,28,4
82,3,4
83,4,4
84,7,9
85,21,9
86,6,12
87,5,3
88,17,3
89,31,7
90,10,11
91,9,11
92,3,9
93,4,9
94,5,4
95,17,4
96,22,5
97,31,5
98,7,4
99,21,4
100,27,14
101,94,14
102,12,9
103,31,9
104,4,4
105,8,4
106,17,9
107,25,12
108,24,12
109,4,10
110,20,10
111,19,16
112,29,45
113,28,5
114,15,5
115,7,32
116,4,5
117,8,5
118,5,15
119,23,15
120,6,18
121,9,18
122,12,10
123,17,10
124,4,6
125,20,6
126,25,7
127,24,7
128,6,19
129,9,19
130,9,21
131,19,38
132,7,19
133,10,3
134,12,3
135,28,27
136,9,18
137,12,18
138,5,12
139,23,12
140,10,16
141,12,16
142,6,9
143,9,9
144,43,13
145,7,13
146,6,2
147,9,2
148,9,9
149,12,9
150,15,17
151,9,17
152,7,16
153,6,13
154,8,3
155,8,3
156,8,10
157,8,10
158,4,27
159,25,27
160,4,15
161,3,15
162,20,24
163,9,30
164,4,24
165,10,24
166,28,8
167,20,4
168,1,4
169,20,4
170,1,4
171,6,3
172,16,3
173,3,19
174,27,8
175,48,8
176,17,17
177,26,17
178,4,9
179,3,9
180,27,11
181,48,11
182,7,10
183,20,10
184,4,6
185,10,6
186,17,13
187,26,13
188,4,12
189,13,8
190,12,8
191,3,11
192,75,11
193,9,4
194,14,4
195,27,5
196,23,5
197,13,4
198,12,4
