 30 
 1000 1000 
 541 745 403045 
 344 301 103544 
 413 294 121422 
 266 341 90706 
 543 388 210684 
 367 701 257267 
 526 707 371882 
 286 706 201916 
 614 289 177446 
 348 592 206016 
 673 431 290063 
 475 362 171950 
 562 439 246718 
 530 638 338140 
 609 375 228375 
 540 274 147960 
 486 634 308124 
 272 377 102544 
 623 306 190638 
 266 714 189924 
 341 336 114576 
 340 296 100640 
 531 479 254349 
 571 589 336319 
 674 496 334304 
 560 497 278320 
 509 389 198001 
 650 332 215800 
 474 285 135090 
 419 503 210757 
