2 3 50 0 0 0
1000 1000 1000000
1200 800  960000
1100 900  990000
572 665 95  0
482 640  3  0
264 594 58  0
349 566 23  0
276 660 58  0
745 422 35  0
434 622 100  0
446 433 24  0
668 506  1  0
405 635 66  0
486 320  3  0
554 549  3  0
392 491 20  0
459 528 91  0
426 579 22  0
728 359 64  0
644 465 25  0
382 323 61  0
268 352 58  0
324 512 83  0
277 426 14  0
254 685 76  0
483 532 60  0
678 414 73  0
546 590 66  0
716 640  4  0
542 400 19  0
634 596  1  0
497 696 90  0
417 300 43  0
290 605 41  0
321 520  8  0
543 290 29  0
599 269  3  0
467 679 68  0
583 421 57  0
729 723 69  0
465 590 16  0
614 585 24  0
446 327 26  0
734 616  4  0
479 606 34  0
656 278 21  0
537 355 72  0
604 519 75  0
746 596 80  0
439 281 31  0
339 405 32  0
273 526 40  0
625 568 12  0
gcut12dr
