500 1000 150
71 311 22081 2
99 174 17226 6
80 182 14560 3
90 142 12780 1
102 320 32640 1
39 323 12597 1
62 295 18290 6
42 201 8442 1
87 143 12441 1
65 123 7995 2
95 248 23560 2
64 299 19136 2
96 265 25440 2
114 218 24852 1
164 365 59860 1
101 296 29896 1
92 124 11408 2
155 266 41230 1
93 216 20088 1
126 253 31878 1
123 224 27552 2
103 222 22866 2
121 229 27709 2
82 130 10660 1
53 79 4187 1
94 230 21620 4
122 304 37088 1
156 301 46956 1
163 184 29992 1
102 261 26622 2
69 438 30222 2
118 166 19588 3
145 308 44660 1
130 279 36270 1
100 370 37000 2
138 275 37950 2
107 311 33277 1
90 320 28800 1
180 316 56880 1
200 335 67000 2
154 162 24948 3
139 319 44341 3
104 116 12064 2
122 307 37454 6
124 345 42780 2
199 352 70048 4
179 307 54953 2
160 358 57280 2
81 354 28674 2
161 342 55062 1
160 335 53600 1
133 317 42161 2
130 302 39260 2
143 323 46189 4
188 259 48692 2
110 307 33770 2
146 365 53290 3
88 206 18128 2
152 173 26296 2
145 373 54085 1
127 166 21082 6
127 246 31242 4
123 177 21771 6
189 186 35154 2
69 128 8832 16
174 307 53418 2
87 149 12963 2
75 330 24750 2
240 230 55200 2
238 227 54026 2
114 230 26220 2
157 331 51967 2
161 304 48944 3
89 108 9612 2
155 298 46190 2
128 355 45440 2
127 326 41402 2
161 344 55384 2
148 364 53872 4
94 140 13160 2
127 302 38354 2
164 348 57072 2
163 175 28525 2
179 304 54416 1
132 315 41580 1
61 280 17080 2
61 93 5673 3
64 150 9600 1
90 175 15750 1
64 116 7424 1
84 300 25200 1
60 169 10140 1
71 180 12780 2
61 218 13298 2
91 164 14924 6
88 287 25256 6
81 289 23409 2
51 189 9639 2
87 247 21489 2
71 221 15691 2
70 74 5180 2
94 281 26414 4
59 437 25783 4
74 263 19462 2
74 261 19314 4
105 224 23520 2
70 325 22750 4
61 307 18727 6
59 284 16756 2
144 224 32256 1
61 252 15372 2
62 234 14508 2
66 271 17886 2
45 204 9180 2
114 233 26562 1
68 301 20468 2
74 299 22126 2
65 294 19110 4
79 288 22752 2
59 248 14632 4
62 264 16368 4
85 327 27795 2
71 287 20377 2
84 357 29988 2
85 306 26010 2
80 267 21360 2
92 101 9292 4
91 274 24934 2
79 260 20540 2
77 86 6622 2
90 302 27180 2
83 98 8134 2
85 278 23630 2
92 85 7820 2
85 92 7820 8
85 102 8670 2
97 297 28809 2
88 290 25520 4
87 96 8352 6
94 291 27354 2
89 302 26878 2
83 304 25232 2
93 310 28830 2
82 310 25420 2
80 355 28400 2
85 368 31280 2
93 313 29109 6
82 363 29766 4
84 372 31248 2
90 351 31590 2
