500 1000 50
115 124 40269 1
93 252 13767 1
61 121 20952 1
77 152 45255 1
87 235 28471 1
92 287 335 3
93 283 2707 2
65 276 30645 2
50 182 19152 3
56 227 6209 2
57 225 33252 2
56 209 22616 2
138 189 16913 1
88 174 19046 1
73 167 11521 8
65 74 4146 2
61 74 262 1
66 165 10350 4
93 194 64214 2
52 95 6623 1
76 218 16195 2
88 189 20346 4
90 167 12933 4
77 322 48182 2
51 186 6524 2
77 180 32673 8
77 146 7029 2
130 202 980 5
94 106 2685 1
106 206 52328 1
92 184 24554 2
94 123 9894 6
77 118 706 4
69 111 8055 1
182 250 37260 1
182 266 143891 1
141 146 18583 5
66 232 31068 2
91 286 9557 6
77 277 10238 4
84 272 707 6
68 261 13941 2
85 223 15667 2
90 164 6257 2
92 322 16813 2
113 165 7004 1
105 162 39544 1
100 158 2751 2
113 155 5312 1
143 154 23690 1
