        40       100       100
       450        18        25         4
       840        24        35         2
       720        20        36         7
       494        19        26        13
       572        26        22         6
       779        19        41         7
       432        27        16        16
       975        39        25         1
       625        25        25         9
       760        38        20         2
       980        28        35         5
       455        13        35         7
       972        36        27         1
       377        13        29        13
       532        38        14         3
       286        22        13        26
       160        10        16        54
       341        31        11        21
       858        22        39         4
      1620        36        45         3
       286        11        26         5
       725        25        29         5
       950        25        38         7
       609        21        29         4
       560        14        40         7
      1104        48        23         8
       322        14        23        18
       738        41        18        10
      1058        23        46         6
      1638        39        42         2
       414        18        23        18
       966        23        42         5
      1716        39        44         2
      1656        36        46         1
       780        30        26         2
       231        11        21        12
       110        11        10        59
       558        18        31        14
       589        31        19         2
      1680        40        42         4
