        30       100       100
      1716        52        33         1
      1160        40        29         3
      2059        29        71         2
      2052        38        54         2
      2726        58        47         3
      3358        46        73         2
      2009        41        49         4
      1260        28        45         2
      2352        49        48         1
      1715        49        35         3
      2584        68        38         2
      3819        67        57         2
      1750        35        50         2
      1950        65        30         4
      1054        34        31         3
      1596        57        28         2
      3402        54        63         2
      4118        58        71         1
      3087        49        63         4
      2680        67        40         1
      2072        37        56         1
      1944        27        72         1
      2967        69        43         3
      1260        36        35         2
      4900        70        70         2
      2460        41        60         1
      2886        39        74         1
      2900        50        58         1
      4550        70        65         1
      2312        68        34         1
