ITEM_ID;LENGTH_ITEM;WIDTH_ITEM;STACK;SEQUENCE
0;1764;384;0;1
1;825;1903;0;2
2;925;1643;0;3
3;289;1755;0;4
4;664;2273;0;5
5;839;2273;0;6
6;735;2420;0;7
7;441;1871;0;8
8;784;1871;0;9
9;1140;1435;0;10
10;484;1358;1;1
11;484;1358;1;2
12;484;1358;1;3
13;395;1205;1;4
14;395;1205;1;5
15;395;1205;1;6
16;395;1205;1;7
17;794;1970;1;8
18;794;1970;1;9
19;1781;681;1;10
20;750;1129;2;1
21;1042;1547;2;2
22;960;1088;2;3
23;960;1088;2;4
24;960;1088;2;5
25;960;1489;2;6
26;960;1489;2;7
27;960;1489;2;8
28;960;1489;2;9
29;484;1358;2;10
30;750;1096;3;1
31;599;476;4;1
32;605;872;4;2
33;579;938;4;3
34;323;959;4;4
35;323;959;4;5
36;323;959;4;6
37;636;1002;4;7
