DEFECT_ID;PLATE_ID;X;Y;WIDTH;HEIGHT
0;0;229.0;2147.0;3.0;4.0
1;0;1619.0;3051.0;4.0;2.0
2;0;3354.0;128.0;1.0;2.0
3;0;4244.0;2769.0;1.0;2.0
4;1;121.0;2841.0;2.0;3.0
5;1;300.0;2495.0;2.0;2.0
6;1;344.0;2507.0;1.0;2.0
7;1;1114.0;2614.0;2.0;2.0
8;1;2745.0;55.0;1.0;2.0
9;2;423.0;82.0;1.0;2.0
10;2;2175.0;376.0;4.0;4.0
11;2;2817.0;2860.0;1.0;2.0
12;2;4724.0;98.0;6.0;7.0
13;2;5151.0;3145.0;2.0;2.0
14;2;5818.0;3106.0;2.0;3.0
15;3;766.0;3142.0;1.0;2.0
16;3;1660.0;2514.0;3.0;3.0
17;3;2601.0;1640.0;8.0;5.0
18;3;3989.0;39.0;1.0;2.0
19;3;4538.0;3128.0;2.0;3.0
20;4;56.0;2705.0;1.0;2.0
21;4;3274.0;2621.0;5.0;5.0
22;4;4007.0;894.0;1.0;2.0
23;4;4447.0;1811.0;1.0;2.0
24;5;2464.0;934.0;5.0;5.0
25;5;3431.0;2830.0;4.0;3.0
26;5;3430.0;2831.0;4.0;3.0
27;5;4072.0;255.0;1.0;2.0
28;5;5570.0;3124.0;5.0;3.0
29;5;5976.0;783.0;1.0;2.0
30;6;3625.0;769.0;2.0;3.0
31;6;3681.0;772.0;1.0;2.0
32;6;5208.0;2576.0;1.0;2.0
33;7;117.0;1910.0;1.0;2.0
34;7;1363.0;1120.0;4.0;4.0
35;7;4478.0;2958.0;4.0;4.0
36;8;5840.0;2801.0;1.0;2.0
37;9;774.0;643.0;3.0;2.0
38;9;1340.0;547.0;3.0;3.0
39;9;2976.0;3170.0;6.0;5.0
40;9;4137.0;557.0;2.0;2.0
41;9;4258.0;1193.0;3.0;4.0
42;9;5280.0;2454.0;1.0;2.0
43;10;61.0;2969.0;7.0;2.0
44;10;2003.0;2082.0;2.0;3.0
45;10;3122.0;1182.0;4.0;4.0
46;12;692.0;1708.0;3.0;4.0
47;12;2851.0;1266.0;2.0;1.0
48;12;5190.0;2546.0;2.0;2.0
49;13;1244.0;637.0;1.0;2.0
50;13;2449.0;1015.0;1.0;2.0
51;13;3011.0;121.0;1.0;2.0
52;13;4144.0;3020.0;4.0;3.0
53;13;4403.0;1491.0;10.0;13.0
54;13;5040.0;331.0;3.0;3.0
55;14;108.0;3023.0;2.0;2.0
56;14;113.0;3023.0;2.0;2.0
57;14;468.0;889.0;1.0;2.0
58;14;843.0;3021.0;10.0;4.0
59;14;4006.0;569.0;4.0;4.0
60;14;4855.0;2265.0;1.0;2.0
61;14;5038.0;3143.0;1.0;2.0
62;14;5464.0;513.0;2.0;2.0
63;15;606.0;3003.0;9.0;3.0
64;15;614.0;3004.0;2.0;2.0
65;15;1630.0;3000.0;12.0;4.0
66;15;2299.0;2686.0;3.0;3.0
67;15;4460.0;940.0;5.0;5.0
68;16;1849.0;2984.0;2.0;2.0
69;16;2933.0;617.0;5.0;5.0
70;16;3085.0;2923.0;7.0;4.0
71;16;4513.0;3139.0;1.0;2.0
72;17;160.0;162.0;1.0;2.0
73;17;793.0;2904.0;6.0;3.0
74;17;1655.0;2247.0;2.0;3.0
75;17;3558.0;182.0;3.0;2.0
76;18;86.0;2914.0;2.0;3.0
77;18;118.0;2914.0;3.0;2.0
78;18;123.0;2914.0;3.0;2.0
79;18;2735.0;132.0;1.0;2.0
80;18;2805.0;2021.0;1.0;2.0
81;18;3402.0;2687.0;4.0;3.0
82;18;5818.0;375.0;2.0;1.0
83;19;1516.0;219.0;3.0;2.0
84;19;3130.0;1066.0;2.0;1.0
85;19;5167.0;2309.0;10.0;6.0
