ITEM_ID;LENGTH_ITEM;WIDTH_ITEM;STACK;SEQUENCE
0;764;879;0;1
1;358;1821;0;2
2;469;1066;0;3
3;468;1310;0;4
4;219;964;0;5
5;566;1448;0;6
6;688;1413;0;7
7;360;991;0;8
8;595;1191;0;9
9;425;1416;0;10
10;261;828;0;11
11;381;948;0;12
12;449;1686;0;13
13;584;1158;0;14
14;479;2226;0;15
15;859;1784;0;16
16;391;1655;0;17
17;391;1655;0;18
18;351;1180;0;19
19;351;1180;0;20
20;578;1954;0;21
21;578;1954;0;22
22;578;1954;0;23
23;486;1074;0;24
24;486;1074;0;25
25;487;1074;0;26
26;503;1069;0;27
27;503;1069;0;28
28;503;1069;0;29
29;503;1069;0;30
30;503;1069;0;31
31;430;1084;0;32
32;618;1604;0;33
33;498;1365;0;34
34;960;895;0;35
35;405;1911;0;36
36;1126;2052;0;37
37;426;1655;0;38
38;549;1262;0;39
39;405;1911;0;40
40;1126;2052;0;41
41;426;1655;0;42
42;549;1262;0;43
43;1435;353;0;44
44;582;353;0;45
45;582;353;0;46
46;588;258;0;47
47;588;308;0;48
48;1518;308;0;49
49;1518;296;0;50
50;578;308;0;51
51;578;438;0;52
52;578;296;0;53
53;578;324;0;54
54;578;395;0;55
55;578;334;0;56
56;578;338;0;57
57;1105;1960;0;58
58;460;1690;0;59
59;460;1690;0;60
60;360;1265;0;61
61;360;1265;0;62
62;535;1820;0;63
63;535;1820;0;64
64;475;1015;0;65
65;475;1015;0;66
66;477;1248;1;1
67;477;1248;1;2
68;478;1248;1;3
69;444;1038;1;4
70;444;1038;1;5
71;445;1038;1;6
72;444;1038;1;7
73;444;1038;1;8
74;445;1038;1;9
75;455;1038;1;10
76;455;1038;1;11
77;455;1038;1;12
78;455;1038;1;13
79;455;1038;1;14
80;455;1038;1;15
81;455;1038;1;16
82;455;1038;1;17
83;455;1038;1;18
84;455;1038;1;19
85;428;1093;1;20
86;428;1093;1;21
87;428;1093;1;22
88;428;1093;1;23
89;455;1038;1;24
90;455;1038;1;25
91;455;1038;1;26
92;455;1038;1;27
93;455;1038;1;28
94;455;1038;1;29
95;428;1093;1;30
96;428;1093;1;31
97;428;1093;1;32
98;428;1093;1;33
99;564;526;1;34
100;564;526;1;35
101;1603;363;1;36
102;1603;363;1;37
103;1603;363;1;38
104;1603;363;1;39
105;1603;363;1;40
106;1603;363;1;41
107;1603;363;1;42
108;1603;363;1;43
109;1022;336;1;44
110;1028;293;1;45
111;1028;293;1;46
112;1478;408;1;47
113;1478;408;1;48
114;583;408;1;49
115;583;408;1;50
116;1480;408;1;51
117;1480;408;1;52
118;582;408;1;53
119;582;408;1;54
120;1435;353;1;55
121;314;510;2;1
122;491;1600;2;2
123;491;1600;2;3
124;573;1188;2;4
125;546;625;2;5
126;546;625;2;6
127;479;1975;2;7
128;479;1975;2;8
129;489;925;2;9
130;348;1247;2;10
131;349;1243;2;11
132;1071;2044;2;12
133;1071;2044;2;13
134;844;414;2;14
135;894;504;2;15
136;1054;596;2;16
137;1054;596;2;17
138;434;626;2;18
139;434;626;2;19
140;923;404;2;20
141;1085;923;2;21
142;1085;970;2;22
143;2343;995;2;23
144;1629;995;2;24
145;964;995;2;25
146;600;905;2;26
147;1155;2033;2;27
148;1155;2033;2;28
149;1342;1942;2;29
150;1342;1942;2;30
151;1892;788;2;31
152;1892;788;2;32
153;242;1558;3;1
154;613;1489;3;2
155;603;1370;3;3
156;603;1370;3;4
157;453;1370;3;5
158;453;1370;3;6
159;453;1370;3;7
160;453;1370;3;8
161;463;1140;3;9
162;463;1140;3;10
163;1109;384;3;11
164;385;1063;3;12
165;385;1063;3;13
166;385;1063;3;14
167;385;1063;3;15
168;556;952;3;16
169;556;952;3;17
170;420;845;3;18
171;420;845;3;19
172;664;2076;3;20
173;410;1016;3;21
174;410;1016;3;22
175;1370;1820;3;23
176;1370;1820;3;24
177;460;2035;3;25
178;460;2035;3;26
179;425;1085;3;27
180;704;1395;3;28
181;785;1825;3;29
182;785;1825;3;30
183;1830;1103;3;31
184;1830;1103;3;32
185;1355;803;3;33
186;2107;800;3;34
187;1260;2045;3;35
188;663;1504;3;36
189;663;1504;3;37
190;348;1186;3;38
191;498;1187;4;1
192;498;1187;4;2
193;498;1187;4;3
194;498;1187;4;4
195;594;1648;4;5
196;484;780;4;6
197;368;1315;4;7
198;368;1315;4;8
199;671;1020;4;9
200;671;1020;4;10
201;761;290;4;11
202;761;290;4;12
203;543;1348;4;13
204;671;1020;4;14
205;671;1020;4;15
206;761;290;4;16
207;761;290;4;17
208;543;1348;4;18
209;543;1348;4;19
210;904;1009;4;20
211;904;1009;4;21
212;575;590;4;22
213;575;590;4;23
214;635;2095;4;24
215;635;2095;4;25
216;484;1058;4;26
217;900;1803;4;27
218;480;985;4;28
219;480;985;4;29
220;1885;955;4;30
221;1061;441;4;31
222;692;1725;4;32
223;692;1725;4;33
224;692;1382;4;34
225;692;1382;4;35
226;692;348;4;36
227;262;606;4;37
228;563;1188;4;38
229;563;1188;4;39
230;936;936;4;40
231;556;952;4;41
232;556;952;4;42
233;474;455;5;1
234;464;195;5;2
235;464;195;5;3
236;443;695;5;4
237;443;695;5;5
238;443;695;5;6
239;443;695;5;7
240;284;1790;5;8
241;284;1790;5;9
242;666;1337;5;10
243;302;1297;5;11
244;302;1297;5;12
245;402;1297;5;13
246;402;1297;5;14
247;302;1297;5;15
248;302;1297;5;16
249;402;1297;5;17
250;402;1297;5;18
251;402;1297;5;19
252;1288;719;5;20
253;1288;1174;5;21
254;1288;1174;5;22
255;1296;719;5;23
256;1296;719;5;24
257;1296;719;5;25
258;1296;1174;5;26
259;1296;1174;5;27
260;1296;1174;5;28
261;948;2081;5;29
262;818;847;5;30
263;818;847;5;31
264;818;847;5;32
265;818;847;5;33
266;433;2028;5;34
267;433;2028;5;35
268;1821;1120;5;36
269;611;1540;5;37
270;717;1410;5;38
271;570;1885;5;39
272;570;1885;5;40
273;1045;685;5;41
274;1045;685;5;42
275;587;485;6;1
276;587;485;6;2
277;325;1307;6;3
278;325;1307;6;4
279;671;1795;6;5
280;671;1795;6;6
281;1109;1774;6;7
282;1109;1774;6;8
283;1109;1774;6;9
284;1109;1774;6;10
285;1109;1774;6;11
286;1109;1774;6;12
287;1288;719;6;13
288;503;1238;7;1
289;1405;1405;7;2
290;680;795;7;3
291;1535;665;7;4
292;839;1166;7;5
293;1370;1555;7;6
294;1370;1555;7;7
295;715;1745;7;8
296;804;285;8;1
297;888;458;8;2
298;888;458;8;3
299;888;458;8;4
300;323;1468;8;5
301;323;1468;8;6
302;323;1468;8;7
303;323;1468;8;8
304;470;1568;8;9
305;470;1568;8;10
306;470;1568;8;11
307;470;1568;8;12
308;470;1568;8;13
309;1390;1586;8;14
310;1390;1586;8;15
311;1390;1586;8;16
312;1481;1586;8;17
313;1481;1586;8;18
314;801;1254;8;19
315;801;1344;8;20
316;1021;1283;8;21
317;1021;1283;8;22
318;1021;1283;8;23
319;1021;1283;8;24
320;1181;1283;8;25
321;1181;1283;8;26
322;1181;1677;8;27
323;1181;1677;8;28
324;1315;1250;8;29
325;1315;1340;8;30
326;1315;1279;8;31
327;1315;1279;8;32
328;1315;1860;8;33
329;1315;1860;8;34
330;1387;2069;8;35
331;1056;1869;8;36
332;531;558;9;1
333;531;558;9;2
334;631;1906;9;3
335;631;1906;9;4
336;846;1154;9;5
337;479;1154;9;6
338;479;1154;9;7
339;479;1154;9;8
340;479;1154;9;9
341;594;1154;9;10
342;1194;1244;9;11
343;1736;744;9;12
344;1936;444;9;13
345;836;1944;9;14
346;340;1138;9;15
347;340;1138;9;16
348;445;948;9;17
349;1936;444;9;18
350;836;1944;9;19
351;340;1138;9;20
352;340;1138;9;21
353;445;948;9;22
354;1257;1877;9;23
355;1257;1877;9;24
356;395;1844;9;25
357;887;1770;9;26
358;719;1783;9;27
359;719;1783;9;28
360;1137;1783;9;29
361;1137;1783;9;30
362;1137;1783;9;31
363;998;1987;9;32
364;989;2077;9;33
365;989;2077;9;34
366;999;2077;9;35
367;1252;2077;9;36
368;960;1867;9;37
369;960;1957;9;38
370;1252;1957;9;39
371;1252;1957;9;40
372;1252;1957;9;41
373;1280;1647;9;42
374;1335;1496;9;43
375;1335;1586;9;44
376;1390;1586;9;45
377;510;1108;10;1
378;575;1108;10;2
379;1282;1948;10;3
380;1282;1948;10;4
381;1125;1997;10;5
382;1125;1997;10;6
383;1125;1997;10;7
384;1125;1997;10;8
385;1257;1787;10;9
386;1257;1787;10;10
387;1257;1787;10;11
388;1257;1787;10;12
389;1250;1877;10;13
390;1250;1877;10;14
391;1250;1877;10;15
392;1250;1877;10;16
393;1250;1877;10;17
394;1250;1877;10;18
395;1257;1877;10;19
396;1257;1877;10;20
397;1257;1877;10;21
398;1257;1877;10;22
399;1257;1877;10;23
400;1257;1877;10;24
401;388;1615;11;1
402;388;1615;11;2
403;960;734;11;3
404;961;734;11;4
405;774;1898;11;5
406;869;1898;11;6
407;664;1688;11;7
408;1270;1688;11;8
409;664;1778;11;9
410;1270;1778;11;10
411;1270;1778;11;11
412;1088;1777;11;12
413;1093;1777;11;13
414;982;1867;11;14
415;982;1867;11;15
416;982;1867;11;16
417;982;1867;11;17
418;1088;1867;11;18
419;1093;1867;11;19
420;1281;1948;11;20
421;1281;1948;11;21
422;338;1894;12;1
423;414;375;13;1
424;626;1232;14;1
425;604;1447;15;1
426;455;728;16;1
427;450;1108;17;1
428;610;928;18;1
429;579;1101;19;1
430;326;975;20;1
