DEFECT_ID;PLATE_ID;X;Y;WIDTH;HEIGHT
0;1;1666.0;2790.0;3.0;4.0
1;2;1009.0;1725.0;1.0;1.0
2;2;1932.0;160.0;3.0;5.0
3;3;241.0;728.0;2.0;2.0
4;3;3031.0;1172.0;1.0;1.0
5;3;5009.0;31.0;3.0;2.0
6;4;2652.0;783.0;1.0;1.0
7;5;4771.0;1974.0;6.0;5.0
8;7;4117.0;1801.0;4.0;3.0
9;9;5755.0;414.0;4.0;5.0
10;11;4121.0;214.0;1.0;1.0
11;13;5409.0;2802.0;1.0;1.0
12;14;825.0;704.0;2.0;2.0
13;14;1140.0;643.0;1.0;1.0
14;14;1891.0;1722.0;1.0;1.0
15;14;4957.0;927.0;1.0;2.0
16;14;5707.0;1812.0;3.0;2.0
17;15;3788.0;933.0;1.0;1.0
18;15;4333.0;1953.0;1.0;1.0
19;15;5648.0;722.0;1.0;1.0
20;16;550.0;1105.0;1.0;2.0
21;16;1255.0;736.0;2.0;2.0
22;16;1689.0;1218.0;1.0;1.0
23;17;305.0;2093.0;1.0;1.0
24;17;1979.0;2372.0;1.0;1.0
25;17;4299.0;2480.0;2.0;2.0
26;18;1019.0;1155.0;1.0;1.0
27;18;1629.0;1877.0;1.0;1.0
28;18;3512.0;1730.0;1.0;2.0
29;18;5036.0;2050.0;1.0;1.0
30;19;191.0;443.0;1.0;1.0
31;19;394.0;1065.0;1.0;1.0
32;19;1897.0;2668.0;1.0;1.0
33;19;1897.0;2643.0;1.0;1.0
34;19;3326.0;691.0;1.0;1.0
35;20;802.0;2302.0;1.0;1.0
36;20;3623.0;2394.0;1.0;2.0
37;20;4707.0;143.0;1.0;1.0
38;20;4733.0;142.0;1.0;1.0
39;20;4818.0;142.0;1.0;1.0
40;21;31.0;2417.0;1.0;2.0
41;21;1767.0;2814.0;2.0;3.0
42;21;2785.0;986.0;1.0;1.0
43;21;5629.0;1779.0;1.0;1.0
44;21;5645.0;1777.0;1.0;1.0
45;22;2132.0;2539.0;2.0;1.0
46;23;378.0;994.0;1.0;1.0
47;25;2480.0;47.0;1.0;1.0
48;25;2743.0;1862.0;6.0;5.0
49;25;3992.0;3054.0;3.0;2.0
50;26;3590.0;3087.0;2.0;2.0
51;27;1409.0;2032.0;1.0;1.0
52;27;1718.0;128.0;1.0;1.0
53;28;798.0;84.0;1.0;2.0
54;28;5754.0;2540.0;2.0;1.0
55;29;895.0;27.0;1.0;1.0
56;29;2083.0;957.0;1.0;1.0
57;31;2683.0;1368.0;4.0;3.0
58;33;2912.0;2151.0;1.0;1.0
59;33;3864.0;2947.0;2.0;1.0
60;35;2165.0;1645.0;1.0;1.0
61;37;46.0;2476.0;2.0;3.0
62;37;3412.0;2708.0;2.0;1.0
63;37;5481.0;884.0;3.0;2.0
64;38;1444.0;711.0;3.0;2.0
65;38;4012.0;94.0;2.0;2.0
66;38;4768.0;2774.0;2.0;3.0
67;39;5207.0;1.0;3.0;3.0
68;41;2464.0;1230.0;1.0;1.0
69;43;2805.0;2227.0;3.0;2.0
70;43;4506.0;2547.0;1.0;1.0
71;44;5317.0;853.0;4.0;2.0
72;45;2909.0;2512.0;3.0;3.0
73;46;4751.0;2504.0;6.0;4.0
74;48;715.0;36.0;2.0;1.0
75;48;4276.0;674.0;2.0;3.0
76;50;3762.0;1766.0;6.0;4.0
77;51;3312.0;2283.0;3.0;3.0
78;52;4097.0;89.0;1.0;1.0
79;54;3691.0;1907.0;7.0;2.0
80;56;1419.0;3051.0;3.0;3.0
81;56;5706.0;3106.0;1.0;1.0
82;58;2862.0;2691.0;3.0;3.0
83;59;374.0;1442.0;6.0;5.0
84;61;5288.0;1731.0;3.0;3.0
85;62;3042.0;2892.0;3.0;4.0
86;64;4437.0;1628.0;1.0;1.0
