DEFECT_ID;PLATE_ID;X;Y;WIDTH;HEIGHT
0;0;332.0;522.0;4.0;4.0
1;0;3109.0;2841.0;1.0;1.0
2;0;3109.0;2843.0;1.0;3.0
3;0;3692.0;463.0;1.0;1.0
4;1;3437.0;866.0;2.0;4.0
5;2;1214.0;2889.0;1.0;1.0
6;2;2670.0;2429.0;1.0;1.0
7;2;2290.0;1411.0;1.0;2.0
8;3;2281.0;1188.0;2.0;3.0
9;3;2505.0;612.0;3.0;4.0
10;4;1439.0;2142.0;1.0;3.0
11;4;3646.0;2519.0;3.0;4.0
12;4;5554.0;1976.0;2.0;1.0
13;4;5554.0;1977.0;2.0;1.0
14;5;2653.0;3163.0;2.0;2.0
15;5;4092.0;2802.0;12.0;5.0
16;6;3367.0;2191.0;1.0;3.0
17;6;4574.0;2819.0;2.0;3.0
18;6;4683.0;2847.0;2.0;4.0
19;7;1649.0;2588.0;8.0;7.0
20;7;2070.0;2421.0;3.0;5.0
21;7;2475.0;244.0;3.0;4.0
22;7;2878.0;1008.0;3.0;4.0
23;7;5661.0;2874.0;12.0;7.0
24;8;209.0;556.0;5.0;4.0
25;8;407.0;2835.0;2.0;3.0
26;8;407.0;2837.0;2.0;3.0
27;8;536.0;2504.0;9.0;5.0
28;8;4412.0;2343.0;1.0;3.0
29;8;5492.0;2794.0;2.0;2.0
30;9;3146.0;997.0;2.0;4.0
31;9;3637.0;473.0;5.0;4.0
32;10;1176.0;1011.0;4.0;4.0
33;11;549.0;173.0;3.0;4.0
34;11;564.0;2583.0;1.0;2.0
35;11;4098.0;3036.0;1.0;2.0
36;11;4537.0;789.0;1.0;3.0
37;12;393.0;2855.0;8.0;4.0
38;12;491.0;223.0;6.0;4.0
39;12;736.0;557.0;3.0;5.0
40;12;4290.0;2906.0;2.0;3.0
41;12;5715.0;949.0;3.0;4.0
42;13;5546.0;2039.0;1.0;2.0
43;13;5761.0;567.0;4.0;4.0
44;13;5805.0;356.0;3.0;4.0
45;14;1696.0;731.0;4.0;4.0
46;14;4818.0;1041.0;5.0;4.0
47;14;5222.0;890.0;3.0;4.0
48;14;5286.0;766.0;1.0;3.0
49;15;2650.0;1054.0;2.0;4.0
50;15;3221.0;1038.0;3.0;4.0
51;15;3531.0;1128.0;1.0;2.0
52;15;3777.0;640.0;1.0;2.0
