ITEM_ID;LENGTH_ITEM;WIDTH_ITEM;STACK;SEQUENCE
0;490;1162;0;1
1;490;1162;0;2
2;494;1168;0;3
3;494;1168;0;4
4;652;1939;0;5
5;822;2031;0;6
6;422;1644;0;7
7;452;1674;0;8
8;552;1546;0;9
9;552;1546;0;10
10;520;1711;0;11
11;520;1711;0;12
12;672;1153;0;13
13;822;1244;0;14
14;822;1244;0;15
15;822;1644;0;16
16;822;1644;0;17
17;773;2056;0;18
18;822;2028;0;19
19;674;1154;0;20
20;371;1657;0;21
21;371;1657;0;22
22;396;1657;0;23
23;396;1657;0;24
24;506;1657;0;25
25;506;1657;0;26
26;525;1116;0;27
27;525;1116;0;28
28;525;1116;0;29
29;525;1116;0;30
30;525;1116;0;31
31;525;1116;0;32
32;525;1116;0;33
33;525;1116;0;34
34;722;853;0;35
35;522;853;0;36
36;1122;653;0;37
37;422;453;0;38
38;522;1203;0;39
39;525;1516;0;40
40;525;1516;0;41
41;525;1516;0;42
42;525;1516;0;43
43;522;1053;0;44
44;522;1053;0;45
45;740;1955;0;46
46;746;2009;0;47
47;486;880;0;48
48;486;880;0;49
49;494;1168;0;50
50;494;1168;0;51
51;880;1810;0;52
52;861;1780;0;53
53;861;1780;0;54
54;460;765;0;55
55;460;765;0;56
56;440;765;0;57
57;1122;553;0;58
58;852;2146;0;59
59;774;2044;0;60
60;542;661;0;61
61;542;661;0;62
62;522;1156;0;63
63;522;1156;0;64
64;422;1251;0;65
65;422;1251;0;66
66;421;1061;0;67
67;421;1061;0;68
68;422;1261;0;69
69;422;1261;0;70
70;422;1251;0;71
71;422;1251;0;72
72;525;1749;0;73
73;525;1749;0;74
74;361;480;0;75
75;361;480;0;76
76;466;1725;0;77
77;491;1725;0;78
78;491;1725;0;79
79;466;1725;0;80
80;466;1725;0;81
81;531;1800;0;82
82;663;1983;0;83
83;709;2011;0;84
84;788;751;0;85
85;771;1348;0;86
86;744;1932;0;87
87;744;1932;0;88
88;439;1585;0;89
89;439;1585;0;90
90;439;1585;0;91
91;439;1585;0;92
92;417;531;0;93
93;702;531;0;94
94;773;435;0;95
95;711;2054;0;96
96;486;855;0;97
97;499;855;0;98
98;500;855;0;99
99;486;1162;0;100
100;499;1162;0;101
101;500;1162;0;102
102;198;802;0;103
103;198;1192;0;104
104;1454;292;0;105
105;486;1162;0;106
106;499;1162;0;107
107;500;1162;0;108
108;640;765;0;109
109;619;765;0;110
110;619;765;0;111
111;488;802;0;112
112;488;1192;0;113
113;466;1725;0;114
114;735;1478;0;115
115;571;1694;0;116
116;811;1664;0;117
117;752;290;0;118
118;483;742;0;119
119;814;477;0;120
120;913;391;0;121
121;913;391;0;122
122;674;824;0;123
123;369;1265;0;124
124;369;1265;0;125
125;409;1155;0;126
126;409;1155;0;127
127;369;1265;0;128
128;369;1265;0;129
129;432;1196;0;130
130;432;1196;0;131
131;433;1196;0;132
132;433;1196;0;133
133;602;1734;0;134
134;857;1668;0;135
135;1065;2044;0;136
136;722;1180;0;137
137;984;1274;0;138
138;1013;1304;0;139
139;1317;1243;0;140
140;824;615;0;141
141;763;629;0;142
142;763;629;0;143
143;763;629;0;144
144;822;980;0;145
145;794;1323;0;146
146;813;1850;0;147
147;415;1166;0;148
148;415;1166;0;149
149;814;1954;0;150
150;814;1954;1;1
151;956;1930;1;2
152;747;583;1;3
153;945;583;1;4
154;945;583;1;5
155;945;583;1;6
156;945;583;1;7
157;670;1872;1;8
158;945;583;1;9
159;945;583;1;10
160;644;1605;1;11
161;644;1605;1;12
162;644;1605;1;13
163;644;1605;1;14
164;1704;1104;1;15
165;852;390;1;16
166;649;1574;1;17
167;1428;1604;1;18
168;599;1600;1;19
169;599;1600;1;20
170;602;1734;1;21
171;749;302;1;22
172;747;583;1;23
