PLATE_ID,NODE_ID,X,Y,WIDTH,HEIGHT,TYPE,CUT,PARENT
0,0,0,0,6000,3210,-2,0,
0,1,0,0,701,3210,-2,1,0
0,2,0,0,701,1455,-2,2,1
0,3,0,0,641,1455,44,3,2
0,4,641,0,60,1455,-1,3,2
0,5,0,1455,701,860,-2,2,1
0,6,0,1455,701,860,45,3,5
0,7,0,2315,701,860,-2,2,1
0,8,0,2315,701,860,46,3,7
0,9,0,3175,701,35,-1,2,1
0,10,701,0,840,3210,-2,1,0
0,11,701,0,840,1286,-2,2,10
0,12,701,0,420,1286,10,3,11
0,13,1121,0,420,1286,11,3,11
0,14,701,1286,840,818,-2,2,10
0,15,701,1286,808,818,16,3,14
0,16,1509,1286,32,818,-1,3,14
0,17,701,2104,840,1020,-2,2,10
0,18,701,2104,814,1020,36,3,17
0,19,1515,2104,26,1020,-1,3,17
0,20,701,3124,840,86,-1,2,10
0,21,1541,0,3319,3210,-2,1,0
0,22,1541,0,3319,781,-2,2,21
0,23,1541,0,2039,781,47,3,22
0,24,3580,0,335,781,-2,3,22
0,25,3580,0,335,721,63,4,24
0,26,3580,721,335,60,-1,4,24
0,27,3915,0,35,781,-1,3,22
0,28,3950,0,910,781,-2,3,22
0,29,3950,0,910,701,26,4,28
0,30,3950,701,910,80,-1,4,28
0,31,1541,781,3319,752,-2,2,21
0,32,1541,781,1324,752,-2,3,31
0,33,1541,781,1324,708,27,4,32
0,34,1541,1489,1324,44,-1,4,32
0,35,2865,781,30,752,-1,3,31
0,36,2895,781,1913,752,28,3,31
0,37,4808,781,52,752,-1,3,31
0,38,1541,1533,3319,1050,-2,2,21
0,39,1541,1533,381,1050,-2,3,38
0,40,1541,1533,381,719,53,4,39
0,41,1541,2252,381,331,-1,4,39
0,42,1922,1533,814,1050,-2,3,38
0,43,1922,1533,814,1020,37,4,42
0,44,1922,2553,814,30,-1,4,42
0,45,2736,1533,2093,1050,-2,3,38
0,46,2736,1533,2093,1030,38,4,45
0,47,2736,2563,2093,20,-1,4,45
0,48,4829,1533,31,1050,-1,3,38
0,49,1541,2583,3319,627,-2,2,21
0,50,1541,2583,500,627,-2,3,49
0,51,1541,2583,500,540,71,4,50
0,52,1541,3123,500,87,-1,4,50
0,53,2041,2583,1190,627,-2,3,49
0,54,2041,2583,1190,593,81,4,53
0,55,2041,3176,1190,34,-1,4,53
0,56,3231,2583,20,627,-1,3,49
0,57,3251,2583,398,627,-2,3,49
0,58,3251,2583,398,601,72,4,57
0,59,3251,3184,398,26,-1,4,57
0,60,3649,2583,1190,627,-2,3,49
0,61,3649,2583,1190,593,82,4,60
0,62,3649,3176,1190,34,-1,4,60
0,63,4839,2583,21,627,-1,3,49
0,64,4860,0,1140,3210,-2,1,0
0,65,4860,0,1140,1528,-2,2,64
0,66,4860,0,686,1528,48,3,65
0,67,5546,0,420,1528,-2,3,65
0,68,5546,0,420,242,-1,4,67
0,69,5546,242,420,1286,12,4,67
0,70,5966,0,34,1528,-1,3,65
0,71,4860,1528,1140,25,-1,2,64
0,72,4860,1553,1140,462,-2,2,64
0,73,4860,1553,1115,462,17,3,72
0,74,5975,1553,25,462,-1,3,72
0,75,4860,2015,1140,462,-2,2,64
0,76,4860,2015,1115,462,18,3,75
0,77,5975,2015,25,462,-1,3,75
0,78,4860,2477,1140,674,-2,2,64
0,79,4860,2477,1001,674,49,3,78
0,80,5861,2477,139,674,-1,3,78
0,81,4860,3151,1140,59,-1,2,64
1,82,0,0,6000,3210,-2,0,
1,83,0,0,2013,3210,-2,1,82
1,84,0,0,2013,735,-2,2,83
1,85,0,0,1957,735,83,3,84
1,86,1957,0,56,735,-1,3,84
1,87,0,735,2013,508,-2,2,83
1,88,0,735,820,508,39,3,87
1,89,820,735,1115,508,-2,3,87
1,90,820,735,1115,462,19,4,89
1,91,820,1197,1115,46,-1,4,89
1,92,1935,735,78,508,-1,3,87
1,93,0,1243,2013,935,-2,2,83
1,94,0,1243,2013,935,20,3,93
1,95,0,2178,2013,935,-2,2,83
1,96,0,2178,2013,935,21,3,95
1,97,0,3113,2013,97,-1,2,83
1,98,2013,0,853,3210,-2,1,82
1,99,2013,0,853,508,-2,2,98
1,100,2013,0,820,508,40,3,99
1,101,2833,0,33,508,-1,3,99
1,102,2013,508,853,508,-2,2,98
1,103,2013,508,820,508,41,3,102
1,104,2833,508,33,508,-1,3,102
1,105,2013,1016,853,20,-1,2,98
1,106,2013,1036,853,1797,-2,2,98
1,107,2013,1036,853,1797,22,3,106
1,108,2013,2833,853,335,-2,2,98
1,109,2013,2833,621,335,64,3,108
1,110,2634,2833,232,335,-1,3,108
1,111,2013,3168,853,42,-1,2,98
1,112,2866,0,1558,3210,-2,1,82
1,113,2866,0,1558,401,-2,2,112
1,114,2866,0,1515,401,13,3,113
1,115,4381,0,43,401,-1,3,113
1,116,2866,401,1558,1852,-2,2,112
1,117,2866,401,665,1852,29,3,116
1,118,3531,401,853,1852,-2,3,116
1,119,3531,401,853,1797,23,4,118
1,120,3531,2198,853,55,-1,4,118
1,121,4384,401,40,1852,-1,3,116
1,122,2866,2253,1558,872,-2,2,112
1,123,2866,2253,284,872,-2,3,122
1,124,2866,2253,284,810,30,4,123
1,125,2866,3063,284,62,-1,4,123
1,126,3150,2253,539,872,73,3,122
1,127,3689,2253,735,872,74,3,122
1,128,2866,3125,1558,46,-1,2,112
1,129,2866,3171,1558,39,-1,2,112
1,130,4424,0,1540,3210,-2,1,82
1,131,4424,0,1540,403,-2,2,130
1,132,4424,0,1515,403,0,3,131
1,133,5939,0,25,403,-1,3,131
1,134,4424,403,1540,386,-2,2,130
1,135,4424,403,1495,386,1,3,134
1,136,5919,403,45,386,-1,3,134
