PLATE_ID;NODE_ID;X;Y;WIDTH;HEIGHT;TYPE;CUT;PARENT
0;0;0;0;6000;3210;-2;0;
0;1;0;0;2373;3210;-2;1;0
0;2;0;0;2373;900;-2;2;1
0;3;0;0;662;900;-2;3;2
0;4;0;0;662;852;14;4;3
0;5;0;852;662;48;-1;4;3
0;6;662;0;1711;900;42;3;2
0;7;0;900;2373;1957;-2;2;1
0;8;0;900;850;1957;-2;3;7
0;9;0;900;850;1917;21;4;8
0;10;0;2817;850;40;-1;4;8
0;11;850;900;750;1957;35;3;7
0;12;1600;900;750;1957;36;3;7
0;13;2350;900;23;1957;-1;3;7
0;14;0;2857;2373;252;-2;2;1
0;15;0;2857;1925;252;37;3;14
0;16;1925;2857;448;252;-1;3;14
0;17;0;3109;2373;101;-1;2;1
0;18;2373;0;856;3210;-2;1;0
0;19;2373;0;856;1925;-2;2;18
0;20;2373;0;824;1925;38;3;19
0;21;3197;0;32;1925;-1;3;19
0;22;2373;1925;856;1220;-2;2;18
0;23;2373;1925;836;1220;49;3;22
0;24;3209;1925;20;1220;-1;3;22
0;25;2373;3145;856;65;-1;2;18
0;26;3229;0;824;3210;-2;1;0
0;27;3229;0;824;1202;-2;2;26
0;28;3229;0;802;1202;15;3;27
0;29;4031;0;22;1202;-1;3;27
0;30;3229;1202;824;1925;-2;2;26
0;31;3229;1202;824;1925;39;3;30
0;32;3229;3127;824;83;-1;2;26
0;33;4053;0;1947;3210;-2;1;0
0;34;4053;0;1947;585;-2;2;33
0;35;4053;0;1908;585;0;3;34
0;36;5961;0;39;585;-1;3;34
0;37;4053;585;1947;824;-2;2;33
0;38;4053;585;1925;824;40;3;37
0;39;5978;585;22;824;-1;3;37
0;40;4053;1409;1947;1723;-2;2;33
0;41;4053;1409;960;1723;50;3;40
0;42;5013;1409;960;1723;51;3;40
0;43;5973;1409;27;1723;-1;3;40
0;44;4053;3132;1947;78;-1;2;33
1;45;0;0;6000;3210;-2;0;
1;46;0;0;2146;3210;-2;1;45
1;47;0;0;2146;970;-2;2;46
1;48;0;0;900;970;-2;3;47
1;49;0;0;900;918;1;4;48
1;50;0;918;900;52;-1;4;48
1;51;900;0;1212;970;-2;3;47
1;52;900;0;1212;178;-1;4;51
1;53;900;178;1212;792;16;4;51
1;54;2112;0;34;970;-1;3;47
1;55;0;970;2146;743;-2;2;46
1;56;0;970;2084;743;7;3;55
1;57;2084;970;62;743;-1;3;55
1;58;0;1713;2146;673;-2;2;46
1;59;0;1713;1724;673;17;3;58
1;60;1724;1713;422;673;-2;3;58
1;61;1724;1713;422;642;22;4;60
1;62;1724;2355;422;31;-1;4;60
1;63;0;2386;2146;824;-2;2;46
1;64;0;2386;1925;824;41;3;63
1;65;1925;2386;221;824;-1;3;63
1;66;2146;0;1920;3210;-2;1;45
1;67;2146;0;1920;670;-2;2;66
1;68;2146;0;1858;670;8;3;67
1;69;4004;0;62;670;-1;3;67
1;70;2146;670;1920;1279;-2;2;66
1;71;2146;670;960;1279;-2;3;70
1;72;2146;670;960;1236;43;4;71
1;73;2146;1906;960;43;-1;4;71
1;74;3106;670;960;1279;-2;3;70
1;75;3106;670;960;43;-1;4;74
1;76;3106;713;960;1236;44;4;74
1;77;2146;1949;1920;1236;-2;2;66
1;78;2146;1949;960;1236;45;3;77
1;79;3106;1949;960;1236;46;3;77
1;80;2146;3185;1920;25;-1;2;66
1;81;4066;0;1934;3210;-2;1;45
1;82;4066;0;1934;743;-2;2;81
1;83;4066;0;1904;743;18;3;82
1;84;5970;0;30;743;-1;3;82
1;85;4066;743;1934;1517;-2;2;81
1;86;4066;743;950;1517;52;3;85
1;87;5016;743;950;1517;53;3;85
1;88;5966;743;34;1517;-1;3;85
1;89;4066;2260;1934;900;-2;2;81
1;90;4066;2260;1711;900;54;3;89
1;91;5777;2260;223;900;-1;3;89
1;92;4066;3160;1934;50;-1;2;81
2;93;0;0;6000;3210;-2;0;
2;94;0;0;813;3210;-2;1;93
2;95;0;0;813;730;-2;2;94
2;96;0;0;87;730;-1;3;95
2;97;87;0;570;730;23;3;95
2;98;657;0;156;730;-1;3;95
2;99;0;730;813;1604;-2;2;94
2;100;0;730;813;1604;28;3;99
2;101;0;2334;813;795;-2;2;94
2;102;0;2334;743;795;29;3;101
2;103;743;2334;70;795;-1;3;101
2;104;0;3129;813;81;-1;2;94
2;105;813;0;776;3210;-2;1;93
2;106;813;0;776;2396;-2;2;105
2;107;813;0;776;2396;9;3;106
2;108;813;2396;776;794;-2;2;105
2;109;813;2396;742;794;24;3;108
2;110;1555;2396;34;794;-1;3;108
2;111;813;3190;776;20;-1;2;105
2;112;1589;0;2801;3210;-2;1;93
2;113;1589;0;2801;704;-2;2;112
2;114;1589;0;2781;704;10;3;113
2;115;4370;0;20;704;-1;3;113
2;116;1589;704;2801;773;-2;2;112
2;117;1589;704;1914;773;-2;3;116
2;118;1589;704;1914;753;19;4;117
2;119;1589;1457;1914;20;-1;4;117
2;120;3503;704;795;773;-2;3;116
2;121;3503;704;795;743;30;4;120
2;122;3503;1447;795;30;-1;4;120
2;123;4298;704;92;773;-1;3;116
2;124;1589;1477;2801;960;-2;2;112
2;125;1589;1477;1236;960;47;3;124
2;126;2825;1477;1538;960;56;3;124
2;127;4363;1477;27;960;-1;3;124
2;128;1589;2437;2801;750;-2;2;112
2;129;1589;2437;805;750;-2;3;128
2;130;1589;2437;805;570;25;4;129
2;131;1589;3007;805;180;-1;4;129
2;132;2394;2437;1957;750;48;3;128
2;133;4351;2437;39;750;-1;3;128
2;134;1589;3187;2801;23;-1;2;112
2;135;4390;0;1610;3210;-2;1;93
2;136;4390;0;1610;1092;-2;2;135
2;137;4390;0;1040;1092;2;3;136
2;138;5430;0;570;1092;-2;3;136
2;139;5430;0;570;805;26;4;138
2;140;5430;805;570;287;-1;4;138
2;141;4390;1092;1610;2034;-2;2;135
2;142;4390;1092;814;2034;-2;3;141
2;143;4390;1092;814;1989;3;4;142
2;144;4390;3081;814;45;-1;4;142
2;145;5204;1092;763;2034;20;3;141
2;146;5967;1092;33;2034;-1;3;141
2;147;4390;3126;1610;84;-1;2;135
3;148;0;0;6000;3210;-2;0;
3;149;0;0;900;3210;-2;1;148
3;150;0;0;900;1473;-2;2;149
3;151;0;0;863;1473;11;3;150
3;152;863;0;37;1473;-1;3;150
3;153;0;1473;900;1711;-2;2;149
3;154;0;1473;900;1711;55;3;153
3;155;0;3184;900;26;-1;2;149
3;156;900;0;2559;3210;-2;1;148
3;157;900;0;2559;1025;-2;2;156
3;158;900;0;813;1025;-2;3;157
3;159;900;0;813;843;31;4;158
3;160;900;843;813;182;-1;4;158
3;161;1713;0;1710;1025;4;3;157
3;162;3423;0;36;1025;-1;3;157
3;163;900;1025;2559;1961;-2;2;156
3;164;900;1025;1710;1961;-2;3;163
3;165;900;1025;1710;1905;5;4;164
3;166;900;2930;1710;56;-1;4;164
3;167;2610;1025;849;1961;12;3;163
3;168;900;2986;2559;197;-2;2;156
3;169;900;2986;2045;197;13;3;168
3;170;2945;2986;514;197;-1;3;168
3;171;900;3183;2559;27;-1;2;156
3;172;3459;0;835;3210;-2;1;148
3;173;3459;0;835;2145;-2;2;172
3;174;3459;0;835;2145;6;3;173
3;175;3459;2145;835;983;-2;2;172
3;176;3459;2145;813;983;32;3;175
3;177;4272;2145;22;983;-1;3;175
3;178;3459;3128;835;82;-1;2;172
3;179;4294;0;795;3210;-2;1;148
3;180;4294;0;795;1163;-2;2;179
3;181;4294;0;795;1163;33;3;180
3;182;4294;1163;795;1163;-2;2;179
3;183;4294;1163;795;1163;34;3;182
3;184;4294;2326;795;821;-2;2;179
3;185;4294;2326;702;821;27;3;184
3;186;4996;2326;93;821;-1;3;184
3;187;4294;3147;795;63;-1;2;179
3;188;5089;0;911;3210;-3;1;148
