PLATE_ID,NODE_ID,X,Y,WIDTH,HEIGHT,TYPE,CUT,PARENT
0,0,0,0,6000,3210,0,0,
0,1,0,0,1916,3210,-2,1,0
0,2,0,0,1916,1290,-2,2,1
0,3,0,0,461,1290,-2,3,2
0,4,0,0,461,1270,224,4,3
0,5,0,1270,461,20,-1,4,3
0,6,461,0,461,1290,-2,3,2
0,7,461,0,461,1270,225,4,6
0,8,461,1270,461,20,-1,4,6
0,9,922,0,479,1290,-2,3,2
0,10,922,0,479,1266,124,4,9
0,11,922,1266,479,24,-1,4,9
0,12,1401,0,479,1290,-2,3,2
0,13,1401,0,479,1266,125,4,12
0,14,1401,1266,479,24,-1,4,12
0,15,1880,0,36,1290,-1,3,2
0,16,0,1290,1916,1066,-2,2,1
0,17,0,1290,479,1066,-2,3,16
0,18,0,1290,479,1066,126,4,17
0,19,479,1290,479,1066,-2,3,16
0,20,479,1290,479,1066,127,4,19
0,21,958,1290,479,1066,-2,3,16
0,22,958,1290,479,1066,128,4,21
0,23,1437,1290,479,1066,-2,3,16
0,24,1437,1290,479,1066,129,4,23
0,25,0,2356,1916,824,-2,2,1
0,26,0,2356,1038,824,-2,3,25
0,27,0,2356,1038,804,144,4,26
0,28,0,3160,1038,20,-1,4,26
0,29,1038,2356,850,824,-2,3,25
0,30,1038,2356,850,800,145,4,29
0,31,1038,3156,850,24,-1,4,29
0,32,1888,2356,28,824,-1,3,25
0,33,0,3180,1916,30,-1,2,1
0,34,1916,0,1920,3210,-2,1,0
0,35,1916,0,1920,1266,-2,2,34
0,36,1916,0,1920,1266,-2,3,35
0,37,1916,0,1920,633,130,4,36
0,38,1916,633,1920,633,131,4,36
0,39,1916,1266,1920,633,-2,2,34
0,40,1916,1266,1920,633,-2,3,39
0,41,1916,1266,1920,633,132,4,40
0,42,1916,1899,1920,1266,-2,2,34
0,43,1916,1899,1920,1266,-2,3,42
0,44,1916,1899,1920,633,133,4,43
0,45,1916,2532,1920,633,134,4,43
0,46,1916,3165,1920,45,-1,2,34
0,47,3836,0,1303,3210,-2,1,0
0,48,3836,0,1303,1778,-2,2,47
0,49,3836,0,495,1778,-2,3,48
0,50,3836,0,495,1717,64,4,49
0,51,3836,1717,495,61,-1,4,49
0,52,4331,0,808,1778,-2,3,48
0,53,4331,0,808,1778,65,4,52
0,54,3836,1778,1303,461,-2,2,47
0,55,3836,1778,1270,461,-2,3,54
0,56,3836,1778,1270,461,226,4,55
0,57,5106,1778,33,461,-1,3,54
0,58,3836,2239,1303,924,-2,2,47
0,59,3836,2239,1270,924,-2,3,58
0,60,3836,2239,1270,461,227,4,59
0,61,3836,2700,1270,463,228,4,59
0,62,5106,2239,33,924,-1,3,58
0,63,3836,3163,1303,47,-1,2,47
0,64,5139,0,861,3210,-2,1,0
0,65,5139,0,861,1270,-2,2,64
0,66,5139,0,463,1270,-2,3,65
0,67,5139,0,463,1270,229,4,66
0,68,5602,0,398,1270,-2,3,65
0,69,5602,0,398,1139,230,4,68
0,70,5602,1139,398,131,-1,4,68
0,71,5139,1270,861,500,-2,2,64
0,72,5139,1270,810,500,-2,3,71
0,73,5139,1270,810,500,184,4,72
0,74,5949,1270,51,500,-1,3,71
0,75,5139,1770,861,1390,-2,2,64
0,76,5139,1770,820,1390,-2,3,75
0,77,5139,1770,820,1390,146,4,76
0,78,5959,1770,41,1390,-1,3,75
0,79,5139,3160,861,50,-1,2,64
0,-1,1623,3180,2,2,-4,-1,
1,80,0,0,6000,3210,1,0,
1,81,0,0,820,3210,-2,1,80
1,82,0,0,820,1738,-2,2,81
1,83,0,0,788,1738,-2,3,82
1,84,0,0,788,1738,104,4,83
1,85,788,0,32,1738,-1,3,82
1,86,0,1738,820,1390,-2,2,81
1,87,0,1738,820,1390,-2,3,86
1,88,0,1738,820,1390,147,4,87
1,89,0,3128,820,82,-1,2,81
1,90,820,0,2456,3210,-2,1,80
1,91,820,0,2456,1014,-2,2,90
1,92,820,0,1228,1014,-2,3,91
1,93,820,0,1228,507,105,4,92
1,94,820,507,1228,507,106,4,92
1,95,2048,0,1228,1014,-2,3,91
1,96,2048,0,1228,507,107,4,95
1,97,2048,507,1228,507,108,4,95
1,98,820,1014,2456,1014,-2,2,90
1,99,820,1014,1228,1014,-2,3,98
1,100,820,1014,1228,507,109,4,99
1,101,820,1521,1228,507,110,4,99
1,102,2048,1014,1228,1014,-2,3,98
1,103,2048,1014,1228,507,111,4,102
1,104,2048,1521,1228,507,112,4,102
1,105,820,2028,2456,1162,-2,2,90
1,106,820,2028,27,1162,-1,3,105
1,107,847,2028,398,1162,-2,3,105
1,108,847,2028,398,1139,231,4,107
1,109,847,3167,398,23,-1,4,107
1,110,1245,2028,336,1162,-2,3,105
1,111,1245,2028,336,1137,244,4,110
1,112,1245,3165,336,25,-1,4,110
1,113,1581,2028,1673,1162,-2,3,105
1,114,1581,2028,1673,581,148,4,113
1,115,1581,2609,1673,581,149,4,113
1,116,3254,2028,22,1162,-1,3,105
1,117,820,3190,2456,20,-1,2,90
1,118,3276,0,1862,3210,-2,1,80
1,119,3276,0,1862,1920,-2,2,118
1,120,3276,0,633,1920,-2,3,119
1,121,3276,0,633,1920,135,4,120
1,122,3909,0,633,1920,-2,3,119
1,123,3909,0,633,1920,136,4,122
1,124,4542,0,596,1920,-2,3,119
1,125,4542,0,596,1920,150,4,124
1,126,3276,1920,1862,1256,-2,2,118
1,127,3276,1920,398,1256,-2,3,126
1,128,3276,1920,398,1139,232,4,127
1,129,3276,3059,398,117,-1,4,127
1,130,3674,1920,366,1256,-2,3,126
1,131,3674,1920,366,1137,245,4,130
1,132,3674,3057,366,119,-1,4,130
1,133,4040,1920,1098,1256,-2,3,126
1,134,4040,1920,1098,628,113,4,133
1,135,4040,2548,1098,628,114,4,133
1,136,3276,3176,1862,34,-1,2,118
1,137,5138,0,862,3210,-2,1,80
1,138,5138,0,862,1175,-2,2,137
1,139,5138,0,464,1175,-2,3,138
1,140,5138,0,464,1155,185,4,139
1,141,5138,1155,464,20,-1,4,139
1,142,5602,0,398,1175,-2,3,138
1,143,5602,0,398,1139,233,4,142
1,144,5602,1139,398,36,-1,4,142
1,145,5138,1175,862,858,-2,2,137
1,146,5138,1175,813,858,-2,3,145
1,147,5138,1175,813,858,234,4,146
1,148,5951,1175,49,858,-1,3,145
1,149,5138,2033,862,1177,-2,2,137
1,150,5138,2033,464,1177,-2,3,149
1,151,5138,2033,464,1155,186,4,150
1,152,5138,3188,464,22,-1,4,150
1,153,5602,2033,366,1177,-2,3,149
1,154,5602,2033,366,1137,246,4,153
1,155,5602,3170,366,40,-1,4,153
1,156,5968,2033,32,1177,-1,3,149
1,-1,843,3012,4,6,-4,-1,
2,157,0,0,6000,3210,2,0,
2,158,0,0,952,3210,-2,1,157
2,159,0,0,952,900,-2,2,158
2,160,0,0,476,900,-2,3,159
2,161,0,0,476,900,164,4,160
2,162,476,0,476,900,-2,3,159
2,163,476,0,476,900,165,4,162
2,164,0,900,952,1800,-2,2,158
2,165,0,900,476,1800,-2,3,164
2,166,0,900,476,900,166,4,165
2,167,0,1800,476,900,167,4,165
2,168,476,900,476,1800,-2,3,164
2,169,476,900,476,900,168,4,168
2,170,476,1800,476,900,169,4,168
2,171,0,2700,952,476,-2,2,158
2,172,0,2700,900,476,-2,3,171
2,173,0,2700,900,476,170,4,172
2,174,900,2700,52,476,-1,3,171
2,175,0,3176,952,34,-1,2,158
2,176,952,0,1164,3210,-2,1,157
2,177,952,0,1164,2066,-2,2,176
2,178,952,0,1164,2066,-2,3,177
2,179,952,0,1164,1028,171,4,178
2,180,952,1028,1164,1038,172,4,178
2,181,952,2066,1164,366,-2,2,176
2,182,952,2066,1137,366,-2,3,181
2,183,952,2066,1137,366,247,4,182
2,184,2089,2066,27,366,-1,3,181
2,185,952,2432,1164,728,-2,2,176
2,186,952,2432,1093,728,-2,3,185
2,187,952,2432,1093,728,115,4,186
2,188,2045,2432,71,728,-1,3,185
2,189,952,3160,1164,50,-1,2,176
2,190,2116,0,2028,3210,-2,1,157
2,191,2116,0,2028,2128,-2,2,190
2,192,2116,0,507,2128,-2,3,191
2,193,2116,0,507,2128,116,4,192
2,194,2623,0,507,2128,-2,3,191
2,195,2623,0,507,2128,117,4,194
2,196,3130,0,507,2128,-2,3,191
2,197,3130,0,507,2128,118,4,196
2,198,3637,0,507,2128,-2,3,191
2,199,3637,0,507,2128,119,4,198
2,200,2116,2128,2028,685,-2,2,190
2,201,2116,2128,1998,685,-2,3,200
2,202,2116,2128,1998,685,66,4,201
2,203,4114,2128,30,685,-1,3,200
2,204,2116,2813,2028,397,-2,2,190
2,205,2116,2813,1122,397,-2,3,204
2,206,2116,2813,1122,397,264,4,205
2,207,3238,2813,819,397,-2,3,204
2,208,3238,2813,819,352,204,4,207
2,209,3238,3165,819,45,-1,4,207
2,210,4057,2813,87,397,-1,3,204
2,211,4144,0,638,3210,-2,1,157
2,212,4144,0,638,873,-2,2,211
2,213,4144,0,612,873,-2,3,212
2,214,4144,0,612,873,137,4,213
2,215,4756,0,26,873,-1,3,212
2,216,4144,873,638,2300,-2,2,211
2,217,4144,873,618,2300,-2,3,216
2,218,4144,873,618,1150,235,4,217
2,219,4144,2023,618,1150,236,4,217
2,220,4762,873,20,2300,-1,3,216
2,221,4144,3173,638,37,-1,2,211
2,222,4782,0,1218,3210,-2,1,157
2,223,4782,0,1218,509,-2,2,222
2,224,4782,0,1218,509,-2,3,223
2,225,4782,0,1218,509,44,4,224
2,226,4782,509,1218,819,-2,2,222
2,227,4782,509,592,819,-2,3,226
2,228,4782,509,592,819,205,4,227
2,229,5374,509,592,819,-2,3,226
2,230,5374,509,592,819,206,4,229
2,231,5966,509,34,819,-1,3,226
2,232,4782,1328,1218,772,-2,2,222
2,233,4782,1328,1173,772,-2,3,232
2,234,4782,1328,1173,772,67,4,233
2,235,5955,1328,45,772,-1,3,232
2,236,4782,2100,1218,1110,-2,2,222
2,237,4782,2100,497,1110,-2,3,236
