PLATE_ID;NODE_ID;X;Y;WIDTH;HEIGHT;TYPE;CUT;PARENT
0;0;0;0;6000;3210;-2;0;
0;1;0;0;1140;3210;-2;1;0
0;2;0;0;1140;449;-2;2;1
0;3;0;0;1103;449;23;3;2
0;4;1103;0;37;449;-1;3;2
0;5;0;449;1140;1902;-2;2;1
0;6;0;449;380;1902;-2;3;5
0;7;0;449;380;951;92;4;6
0;8;0;1400;380;951;93;4;6
0;9;380;449;380;1902;-2;3;5
0;10;380;449;380;951;94;4;9
0;11;380;1400;380;951;95;4;9
0;12;760;449;380;1902;-2;3;5
0;13;760;449;380;951;96;4;12
0;14;760;1400;380;951;97;4;12
0;15;0;2351;1140;829;-2;2;1
0;16;0;2351;1140;829;253;3;15
0;17;0;3180;1140;30;-1;2;1
0;18;1140;0;2145;3210;-2;1;0
0;19;1140;0;2145;1218;-2;2;18
0;20;1140;0;577;1218;-2;3;19
0;21;1140;0;577;119;-1;4;20
0;22;1140;119;577;1099;230;4;20
0;23;1717;0;701;1218;-2;3;19
0;24;1717;0;701;1195;254;4;23
0;25;1717;1195;701;23;-1;4;23
0;26;2418;0;413;1218;255;3;19
0;27;2831;0;413;1218;256;3;19
0;28;3244;0;41;1218;-1;3;19
0;29;1140;1218;2145;1953;-2;2;18
0;30;1140;1218;429;1953;115;3;29
0;31;1569;1218;429;1953;116;3;29
0;32;1998;1218;429;1953;117;3;29
0;33;2427;1218;429;1953;118;3;29
0;34;2856;1218;429;1953;119;3;29
0;35;1140;3171;2145;39;-1;2;18
0;36;3285;0;1211;3210;-2;1;0
0;37;3285;0;1211;1128;-2;2;36
0;38;3285;0;593;1128;69;3;37
0;39;3878;0;577;1128;-2;3;37
0;40;3878;0;577;1099;231;4;39
0;41;3878;1099;577;29;-1;4;39
0;42;4455;0;41;1128;-1;3;37
0;43;3285;1128;1211;1178;-2;2;36
0;44;3285;1128;251;1178;-2;3;43
0;45;3285;1128;251;1051;70;4;44
0;46;3285;2179;251;127;-1;4;44
0;47;3536;1128;513;1178;-2;3;43
0;48;3536;1128;513;1148;120;4;47
0;49;3536;2276;513;30;-1;4;47
0;50;4049;1128;447;1178;-2;3;43
0;51;4049;1128;447;589;232;4;50
0;52;4049;1717;447;589;233;4;50
0;53;3285;2306;1211;881;-2;2;36
0;54;3285;2306;590;881;71;3;53
0;55;3875;2306;590;881;72;3;53
0;56;4465;2306;31;881;-1;3;53
0;57;3285;3187;1211;23;-1;2;36
0;58;4496;0;1479;3210;-2;1;0
0;59;4496;0;1479;360;-2;2;58
0;60;4496;0;1391;360;46;3;59
0;61;5887;0;88;360;-1;3;59
0;62;4496;360;1479;1876;-2;2;58
0;63;4496;360;493;1876;-2;3;62
0;64;4496;360;493;938;121;4;63
0;65;4496;1298;493;938;122;4;63
0;66;4989;360;493;1876;-2;3;62
0;67;4989;360;493;938;123;4;66
0;68;4989;1298;493;938;124;4;66
0;69;5482;360;493;1876;-2;3;62
0;70;5482;360;493;938;125;4;69
0;71;5482;1298;493;938;126;4;69
0;72;4496;2236;1479;938;-2;2;58
0;73;4496;2236;493;938;127;3;72
0;74;4989;2236;493;938;128;3;72
0;75;5482;2236;493;938;129;3;72
0;76;4496;3174;1479;36;-1;2;58
0;77;5975;0;25;3210;-1;1;0
1;78;0;0;6000;3210;-2;0;
1;79;0;0;1786;3210;-2;1;78
1;80;0;0;1786;1001;-2;2;79
1;81;0;0;758;1001;24;3;80
1;82;758;0;504;1001;-2;3;80
1;83;758;0;504;938;130;4;82
1;84;758;938;504;63;-1;4;82
1;85;1262;0;504;1001;-2;3;80
1;86;1262;0;504;938;131;4;85
1;87;1262;938;504;63;-1;4;85
1;88;1766;0;20;1001;-1;3;80
1;89;0;1001;1786;451;-2;2;79
1;90;0;1001;1754;451;207;3;89
1;91;1754;1001;32;451;-1;3;89
1;92;0;1452;1786;451;-2;2;79
1;93;0;1452;1754;451;208;3;92
1;94;1754;1452;32;451;-1;3;92
1;95;0;1903;1786;451;-2;2;79
1;96;0;1903;1754;451;209;3;95
1;97;1754;1903;32;451;-1;3;95
1;98;0;2354;1786;856;-2;2;79
1;99;0;2354;350;856;-2;3;98
1;100;0;2354;350;110;-1;4;99
1;101;0;2464;350;746;0;4;99
1;102;350;2354;295;856;-2;3;98
1;103;350;2354;295;831;1;4;102
1;104;350;3185;295;25;-1;4;102
1;105;645;2354;295;856;-2;3;98
1;106;645;2354;295;831;2;4;105
1;107;645;3185;295;25;-1;4;105
1;108;940;2354;846;856;-2;3;98
1;109;940;2354;846;810;25;4;108
1;110;940;3164;846;46;-1;4;108
1;111;1786;0;2392;3210;-2;1;78
1;112;1786;0;2392;720;-2;2;111
1;113;1786;0;974;720;-2;3;112
1;114;1786;0;974;679;3;4;113
1;115;1786;679;974;41;-1;4;113
1;116;2760;0;1391;720;-2;3;112
1;117;2760;0;1391;360;47;4;116
1;118;2760;360;1391;360;48;4;116
1;119;4151;0;27;720;-1;3;112
1;120;1786;720;2392;1218;-2;2;111
1;121;1786;720;447;1218;-2;3;120
1;122;1786;720;447;1099;234;4;121
1;123;1786;1819;447;119;-1;4;121
1;124;2233;720;366;1218;-2;3;120
1;125;2233;720;366;1168;4;4;124
1;126;2233;1888;366;50;-1;4;124
1;127;2599;720;366;1218;-2;3;120
1;128;2599;720;366;1168;5;4;127
1;129;2599;1888;366;50;-1;4;127
1;130;2965;720;311;1218;-2;3;120
1;131;2965;720;311;1188;184;4;130
1;132;2965;1908;311;30;-1;4;130
1;133;3276;720;451;1218;-2;3;120
1;134;3276;720;451;1198;210;4;133
1;135;3276;1918;451;20;-1;4;133
1;136;3727;720;451;1218;-2;3;120
1;137;3727;720;451;1198;211;4;136
1;138;3727;1918;451;20;-1;4;136
1;139;1786;1938;2392;732;-2;2;111
1;140;1786;1938;1168;732;-2;3;139
1;141;1786;1938;1168;366;6;4;140
1;142;1786;2304;1168;366;7;4;140
1;143;2954;1938;1168;732;-2;3;139
1;144;2954;1938;1168;366;8;4;143
1;145;2954;2304;1168;366;9;4;143
1;146;4122;1938;56;732;-1;3;139
1;147;1786;2670;2392;540;-2;2;111
1;148;1786;2670;388;540;-2;3;147
1;149;1786;2670;388;498;26;4;148
1;150;1786;3168;388;42;-1;4;148
1;151;2174;2670;458;540;-2;3;147
1;152;2174;2670;458;518;27;4;151
1;153;2174;3188;458;22;-1;4;151
1;154;2632;2670;1522;540;-2;3;147
1;155;2632;2670;1522;519;257;4;154
1;156;2632;3189;1522;21;-1;4;154
1;157;4154;2670;24;540;-1;3;147
1;158;4178;0;1822;3210;-2;1;78
1;159;4178;0;1822;774;-2;2;158
1;160;4178;0;1802;774;28;3;159
1;161;5980;0;20;774;-1;3;159
1;162;4178;774;1822;830;-2;2;158
1;163;4178;774;191;830;-2;3;162
1;164;4178;774;191;721;49;4;163
1;165;4178;1495;191;109;-1;4;163
1;166;4369;774;1116;830;-2;3;162
1;167;4369;774;1116;810;73;4;166
1;168;4369;1584;1116;20;-1;4;166
1;169;5485;774;484;830;-2;3;162
1;170;5485;774;484;808;161;4;169
1;171;5485;1582;484;22;-1;4;169
1;172;5969;774;31;830;-1;3;162
1;173;4178;1604;1822;1606;-2;2;158
1;174;4178;1604;360;1606;50;3;173
1;175;4538;1604;360;1606;51;3;173
1;176;4898;1604;360;1606;52;3;173
1;177;5258;1604;360;1606;53;3;173
1;178;5618;1604;360;1606;54;3;173
1;179;5978;1604;22;1606;-1;3;173
2;180;0;0;6000;3210;-2;0;
2;181;0;0;833;3210;-2;1;180
2;182;0;0;833;1168;-2;2;181
2;183;0;0;366;1168;10;3;182
2;184;366;0;447;1168;-2;3;182
2;185;366;0;447;1099;235;4;184
2;186;366;1099;447;69;-1;4;184
2;187;813;0;20;1168;-1;3;182
2;188;0;1168;833;1116;-2;2;181
2;189;0;1168;810;1116;74;3;188
2;190;810;1168;23;1116;-1;3;188
2;191;0;2284;833;903;-2;2;181
2;192;0;2284;788;903;162;3;191
2;193;788;2284;45;903;-1;3;191
2;194;0;3187;833;23;-1;2;181
2;195;833;0;1517;3210;-2;1;180
2;196;833;0;1517;413;-2;2;195
2;197;833;0;1476;413;163;3;196
2;198;2309;0;41;413;-1;3;196
2;199;833;413;1517;1224;-2;2;195
2;200;833;413;311;1224;-2;3;199
2;201;833;413;311;1188;185;4;200
2;202;833;1601;311;36;-1;4;200
2;203;1144;413;303;1224;-2;3;199
2;204;1144;413;303;1131;186;4;203
2;205;1144;1544;303;93;-1;4;203
2;206;1447;413;20;1224;-1;3;199
2;207;1467;413;451;1224;-2;3;199
2;208;1467;413;451;1198;212;4;207
2;209;1467;1611;451;26;-1;4;207
2;210;1918;413;432;1224;-2;3;199
2;211;1918;413;432;1204;236;4;210
2;212;1918;1617;432;20;-1;4;210
2;213;833;1637;1517;771;-2;2;195
2;214;833;1637;1486;771;98;3;213
2;215;2319;1637;31;771;-1;3;213
2;216;833;2408;1517;413;-2;2;195
2;217;833;2408;1476;413;164;3;216
2;218;2309;2408;41;413;-1;3;216
2;219;833;2821;1517;363;-2;2;195
2;220;833;2821;1486;363;165;3;219
2;221;2319;2821;31;363;-1;3;219
2;222;833;3184;1517;26;-1;2;195
2;223;2350;0;1154;3210;-2;1;180
2;224;2350;0;1154;303;-2;2;223
2;225;2350;0;1131;303;187;3;224
2;226;3481;0;23;303;-1;3;224
2;227;2350;303;1154;1666;-2;2;223
2;228;2350;303;360;1666;-2;3;227
2;229;2350;303;360;1606;55;4;228
2;230;2350;1909;360;60;-1;4;228
2;231;2710;303;20;1666;-1;3;227
2;232;2730;303;774;1666;29;3;227
2;233;2350;1969;1154;1241;-2;2;223
2;234;2350;1969;271;1241;-2;3;233
2;235;2350;1969;271;1061;75;4;234
2;236;2350;3030;271;180;-1;4;234
2;237;2621;1969;451;1241;-2;3;233
2;238;2621;1969;451;1198;213;4;237
2;239;2621;3167;451;43;-1;4;237
2;240;3072;1969;432;1241;-2;3;233
2;241;3072;1969;432;1204;237;4;240
2;242;3072;3173;432;37;-1;4;240
2;243;3504;0;539;3210;-2;1;180
2;244;3504;0;539;576;-2;2;243
2;245;3504;0;248;576;11;3;244
2;246;3752;0;248;576;12;3;244
2;247;4000;0;43;576;-1;3;244
2;248;3504;576;539;1351;-2;2;243
2;249;3504;576;539;1351;188;3;248
2;250;3504;1927;539;1263;-2;2;243
2;251;3504;1927;539;1263;189;3;250
2;252;3504;3190;539;20;-1;2;243
2;253;4043;0;400;3210;-2;1;180
2;254;4043;0;400;1794;-2;2;253
2;255;4043;0;400;1794;30;3;254
2;256;4043;1794;400;1351;-2;2;253
2;257;4043;1794;360;1351;56;3;256
2;258;4403;1794;40;1351;-1;3;256
2;259;4043;3145;400;65;-1;2;253
2;260;4443;0;1557;3210;-2;1;180
2;261;4443;0;1557;363;-2;2;260
2;262;4443;0;1486;363;166;3;261
2;263;5929;0;71;363;-1;3;261
2;264;4443;363;1557;539;-2;2;260
2;265;4443;363;1263;539;190;3;264
2;266;5706;363;218;539;-2;3;264
2;267;5706;363;218;488;191;4;266
2;268;5706;851;218;51;-1;4;266
2;269;5924;363;76;539;-1;3;264
2;270;4443;902;1557;464;-2;2;260
2;271;4443;902;1527;464;238;3;270
2;272;5970;902;30;464;-1;3;270
2;273;4443;1366;1557;519;-2;2;260
2;274;4443;1366;1522;519;258;3;273
2;275;5965;1366;35;519;-1;3;273
2;276;4443;1885;1557;654;-2;2;260
2;277;4443;1885;208;654;-2;3;276
2;278;4443;1885;208;593;192;4;277
2;279;4443;2478;208;61;-1;4;277
2;280;4651;1885;368;654;193;3;276
2;281;5019;1885;368;654;194;3;276
2;282;5387;1885;577;654;-2;3;276
2;283;5387;1885;577;589;259;4;282
2;284;5387;2474;577;65;-1;4;282
2;285;5964;1885;36;654;-1;3;276
2;286;4443;2539;1557;321;-2;2;260
2;287;4443;2539;1508;321;195;3;286
2;288;5951;2539;49;321;-1;3;286
2;289;4443;2860;1557;321;-2;2;260
2;290;4443;2860;1508;321;196;3;289
2;291;5951;2860;49;321;-1;3;289
2;292;4443;3181;1557;29;-1;2;260
3;293;0;0;6000;3210;-2;0;
3;294;0;0;2994;3210;-2;1;293
3;295;0;0;2994;720;-2;2;294
3;296;0;0;1481;720;-2;3;295
3;297;0;0;1481;360;167;4;296
3;298;0;360;1481;360;168;4;296
3;299;1481;0;1476;720;-2;3;295
3;300;1481;0;1476;360;169;4;299
3;301;1481;360;1476;360;170;4;299
3;302;2957;0;37;720;-1;3;295
3;303;0;720;2994;363;-2;2;294
3;304;0;720;1471;363;171;3;303
3;305;1471;720;1471;363;172;3;303
3;306;2942;720;52;363;-1;3;303
3;307;0;1083;2994;1763;-2;2;294
3;308;0;1083;262;1763;214;3;307
3;309;262;1083;262;1763;215;3;307
3;310;524;1083;378;1763;-2;3;307
3;311;524;1083;378;1719;216;4;310
3;312;524;2802;378;44;-1;4;310
3;313;902;1083;378;1763;-2;3;307
3;314;902;1083;378;1719;217;4;313
3;315;902;2802;378;44;-1;4;313
3;316;1280;1083;456;1763;-2;3;307
3;317;1280;1083;456;1719;218;4;316
3;318;1280;2802;456;44;-1;4;316
3;319;1736;1083;456;1763;-2;3;307
3;320;1736;1083;456;1719;219;4;319
3;321;1736;2802;456;44;-1;4;319
3;322;2192;1083;401;1763;-2;3;307
3;323;2192;1083;401;1738;220;4;322
3;324;2192;2821;401;25;-1;4;322
3;325;2593;1083;401;1763;-2;3;307
3;326;2593;1083;401;1738;221;4;325
3;327;2593;2821;401;25;-1;4;325
