PLATE_ID;NODE_ID;X;Y;WIDTH;HEIGHT;TYPE;CUT;PARENT
0;0;0;0;6000;3210;-2;0;
0;1;0;0;618;3210;-2;1;0
0;2;0;0;618;500;271;2;1
0;3;0;500;618;502;272;2;1
0;4;0;1002;618;502;273;2;1
0;5;0;1504;618;1706;-2;2;1
0;6;0;1504;564;1706;-2;3;5
0;7;0;1504;564;1672;66;4;6
0;8;0;3176;564;34;-1;4;6
0;9;564;1504;54;1706;-1;3;5
0;10;618;0;2256;3210;-2;1;0
0;11;618;0;2256;515;-2;2;10
0;12;618;0;22;515;-1;3;11
0;13;640;0;2135;515;110;3;11
0;14;2775;0;99;515;-1;3;11
0;15;618;515;2256;584;-2;2;10
0;16;618;515;564;584;0;3;15
0;17;1182;515;564;584;1;3;15
0;18;1746;515;564;584;2;3;15
0;19;2310;515;564;584;3;3;15
0;20;618;1099;2256;1672;-2;2;10
0;21;618;1099;564;1672;67;3;20
0;22;1182;1099;564;1672;68;3;20
0;23;1746;1099;564;1672;69;3;20
0;24;2310;1099;564;1672;70;3;20
0;25;618;2771;2256;439;-2;2;10
0;26;618;2771;629;439;-2;3;25
0;27;618;2771;629;406;205;4;26
0;28;618;3177;629;33;-1;4;26
0;29;1247;2771;789;439;-2;3;25
0;30;1247;2771;789;363;206;4;29
0;31;1247;3134;789;76;-1;4;29
0;32;2036;2771;789;439;-2;3;25
0;33;2036;2771;789;363;207;4;32
0;34;2036;3134;789;76;-1;4;32
0;35;2825;2771;49;439;-1;3;25
0;36;2874;0;638;3210;-2;1;0
0;37;2874;0;638;2095;-2;2;36
0;38;2874;0;611;2095;154;3;37
0;39;3485;0;27;2095;-1;3;37
0;40;2874;2095;638;502;-2;2;36
0;41;2874;2095;618;502;274;3;40
0;42;3492;2095;20;502;-1;3;40
0;43;2874;2597;638;613;-2;2;36
0;44;2874;2597;584;613;-2;3;43
0;45;2874;2597;584;564;22;4;44
0;46;2874;3161;584;49;-1;4;44
0;47;3458;2597;54;613;-1;3;43
0;48;3512;0;816;3210;-2;1;0
0;49;3512;0;816;502;275;2;48
0;50;3512;502;816;1543;-2;2;48
0;51;3512;502;772;1543;132;3;50
0;52;4284;502;44;1543;-1;3;50
0;53;3512;2045;816;502;276;2;48
0;54;3512;2547;816;663;-2;2;48
0;55;3512;2547;758;663;-2;3;54
0;56;3512;2547;758;594;249;4;55
0;57;3512;3141;758;69;-1;4;55
0;58;4270;2547;58;663;-1;3;54
0;59;4328;0;1672;3210;-2;1;0
0;60;4328;0;1672;451;-2;2;59
0;61;4328;0;20;451;-1;3;60
0;62;4348;0;1631;451;227;3;60
0;63;5979;0;21;451;-1;3;60
0;64;4328;451;1672;363;-2;2;59
0;65;4328;451;789;363;228;3;64
0;66;5117;451;789;363;229;3;64
0;67;5906;451;94;363;-1;3;64
0;68;4328;814;1672;564;71;2;59
0;69;4328;1378;1672;838;-2;2;59
0;70;4328;1378;363;838;-2;3;69
0;71;4328;1378;363;789;230;4;70
0;72;4328;2167;363;49;-1;4;70
0;73;4691;1378;27;838;-1;3;69
0;74;4718;1378;780;838;183;3;69
0;75;5498;1378;480;838;-2;3;69
0;76;5498;1378;480;794;250;4;75
0;77;5498;2172;480;44;-1;4;75
0;78;5978;1378;22;838;-1;3;69
0;79;4328;2216;1672;564;72;2;59
0;80;4328;2780;1672;430;-2;2;59
0;81;4328;2780;789;430;-2;3;80
0;82;4328;2780;789;363;231;4;81
0;83;4328;3143;789;67;-1;4;81
0;84;5117;2780;789;430;-2;3;80
0;85;5117;2780;789;363;232;4;84
0;86;5117;3143;789;67;-1;4;84
0;87;5906;2780;94;430;-1;3;80
1;88;0;0;6000;3210;-2;0;
1;89;0;0;1752;3210;-2;1;88
1;90;0;0;1752;557;-2;2;89
1;91;0;0;1732;557;293;3;90
1;92;1732;0;20;557;-1;3;90
1;93;0;557;1752;557;-2;2;89
1;94;0;557;1732;557;294;3;93
1;95;1732;557;20;557;-1;3;93
1;96;0;1114;1752;460;-2;2;89
1;97;0;1114;1732;460;295;3;96
1;98;1732;1114;20;460;-1;3;96
