PLATE_ID,NODE_ID,X,Y,WIDTH,HEIGHT,TYPE,CUT,PARENT
0,0,0,0,6000,3210,-2,0,
0,1,0,0,2031,3210,-2,1,0
0,2,0,0,2031,2247,-2,2,1
0,3,0,0,2031,2247,-2,3,2
0,4,0,0,2031,1123,20,4,3
0,5,0,1123,2031,1124,21,4,3
0,6,0,2247,2031,963,-2,2,1
0,7,0,2247,1166,963,140,3,6
0,8,1166,2247,826,963,-2,3,6
0,9,1166,2247,826,843,220,4,8
0,10,1166,3090,826,120,-1,4,8
0,11,1992,2247,39,963,-1,3,6
0,12,2031,0,1971,3210,-2,1,0
0,13,2031,0,1971,876,-2,2,12
0,14,2031,0,1971,876,180,3,13
0,15,2031,876,1971,1143,-2,2,12
0,16,2031,876,1935,1143,100,3,15
0,17,3966,876,36,1143,-1,3,15
0,18,2031,2019,1971,1191,-2,2,12
0,19,2031,2019,963,1191,-2,3,18
0,20,2031,2019,963,1167,141,4,19
0,21,2031,3186,963,24,-1,4,19
0,22,2994,2019,963,1191,-2,3,18
0,23,2994,2019,963,1166,142,4,22
0,24,2994,3185,963,25,-1,4,22
0,25,3957,2019,45,1191,-1,3,18
0,26,4002,0,1998,3210,-2,1,0
0,27,4002,0,1998,891,-2,2,26
0,28,4002,0,1976,891,143,3,27
0,29,5978,0,22,891,-1,3,27
0,30,4002,891,1998,877,-2,2,26
0,31,4002,891,1971,877,181,3,30
0,32,5973,891,27,877,-1,3,30
0,33,4002,1768,1998,1442,-2,2,26
0,34,4002,1768,1956,1442,-2,3,33
0,35,4002,1768,1956,721,120,4,34
0,36,4002,2489,1956,721,121,4,34
0,37,5958,1768,42,1442,-1,3,33
1,38,0,0,6000,3210,-2,0,
1,39,0,0,2015,3210,-2,1,38
1,40,0,0,2015,1079,-2,2,39
1,41,0,0,1903,1079,80,3,40
1,42,1903,0,112,1079,-1,3,40
1,43,0,1079,2015,2111,-2,2,39
1,44,0,1079,823,2111,-2,3,43
1,45,0,1079,823,1906,0,4,44
1,46,0,2985,823,205,-1,4,44
1,47,823,1079,596,2111,40,3,43
1,48,1419,1079,596,2111,41,3,43
1,49,0,3190,2015,20,-1,2,39
1,50,2015,0,1973,3210,-2,1,38
1,51,2015,0,1973,2247,-2,2,50
