ID,BIN,X,Y,WIDTH,HEIGHT
0,0,3200,0,20,20
1,0,2884,1977,20,20
2,0,0,2108,3210,142
3,0,2722,2098,20,20
4,0,3174,2240,20,20
5,0,3155,0,20,20
6,0,3200,35,20,20
7,0,3022,1983,20,20
8,1,386,6,20,20
9,1,3200,35,20,20
10,1,13,16,383,276
11,1,4,2240,20,20
12,1,441,178,20,20
13,1,1614,1061,20,20
14,1,0,2158,3210,92
15,1,1965,2148,20,20
16,1,3200,0,20,20
17,1,3155,0,20,20
18,1,3,282,20,20
19,2,3200,35,20,20
20,2,3155,0,20,20
21,2,3200,0,20,20
22,2,3141,660,20,20
23,2,3151,0,59,2250
24,2,2321,117,20,20
25,2,48,47,20,20
26,2,8,2240,20,20
27,3,3155,0,20,20
28,3,3200,35,20,20
29,3,3200,0,20,20
30,3,3168,943,20,20
31,3,3166,1503,20,20
32,3,2927,2154,20,20
33,3,32,79,20,20
34,3,7,2240,20,20
35,4,227,616,20,20
36,4,3162,1758,20,20
37,4,3200,35,20,20
38,4,3155,0,20,20
39,4,3169,943,20,20
40,4,3169,430,20,20
41,4,3161,2132,20,20
42,4,3161,2157,20,20
43,4,3111,721,20,20
44,4,2891,2047,20,20
45,4,1383,2113,20,20
46,4,0,0,3187,360
47,4,141,1580,20,20
48,4,1618,409,20,20
49,4,0,2123,3210,127
50,5,1329,1,20,20
51,5,3155,0,20,20
52,5,3200,0,20,20
53,5,3173,2240,20,20
54,5,3167,1096,20,20
55,5,3167,1222,20,20
56,5,3166,1293,20,20
57,5,3166,1317,20,20
58,5,3166,1345,20,20
59,5,3166,1379,20,20
60,5,3166,1414,20,20
61,5,1360,2200,20,20
62,5,606,0,20,20
63,5,591,121,20,20
64,5,0,0,3210,131
65,5,414,2144,20,20
66,5,106,1065,20,20
67,5,0,0,116,2250
68,5,6,2240,20,20
69,5,2,300,20,20
70,5,12,9,604,301
71,5,3200,35,20,20
72,5,2783,2205,20,20
73,6,3200,35,20,20
74,6,0,0,3210,99
75,6,854,89,20,20
76,6,2358,1824,20,20
77,6,3167,2240,20,20
78,6,3200,0,20,20
79,6,3155,0,20,20
80,7,2897,2186,20,20
81,7,0,0,3210,102
82,7,70,113,20,20
83,7,3200,35,20,20
84,7,1807,92,20,20
85,7,2242,1687,20,20
86,7,43,400,20,20
87,7,3155,0,20,20
88,7,3163,1259,20,20
89,7,3163,1188,20,20
90,7,61,254,20,20
91,7,3164,1138,20,20
92,7,2985,2084,20,20
93,7,3163,1221,20,20
94,7,3200,0,20,20
95,7,3163,1291,20,20
96,7,3163,1318,20,20
97,7,3163,1345,20,20
98,7,3163,1380,20,20
99,7,3163,1413,20,20
100,7,3158,1780,20,20
101,7,3090,2009,20,20
102,7,3164,1097,20,20
103,8,3165,1523,20,20
104,8,0,0,3210,75
105,8,3159,1780,20,20
106,8,3200,0,20,20
107,8,3155,0,20,20
108,8,3200,35,20,20
109,8,1407,65,20,20
110,9,2780,1020,20,20
111,9,3200,35,20,20
112,9,3155,0,20,20
113,9,3200,0,20,20
114,9,3026,1141,20,20
115,9,2796,1181,20,20
116,9,3036,0,174,2250
117,10,3168,1313,20,20
118,10,3155,0,20,20
119,10,3200,0,20,20
120,10,3200,35,20,20
121,10,3168,1185,20,20
122,10,4,3,20,20
123,10,797,0,20,20
124,10,1,335,20,20
125,10,3,2239,20,20
126,10,3169,1096,20,20
127,11,1292,1927,20,20
128,11,3162,1095,20,20
129,11,7,5,20,20
130,11,4,2240,20,20
131,11,2970,154,20,20
132,11,3156,2126,20,20
133,11,3161,1471,20,20
134,11,3162,1455,20,20
135,11,3162,1116,20,20
136,11,3163,1062,20,20
137,11,3163,1028,20,20
138,11,3170,2240,20,20
139,11,3200,0,20,20
140,11,3155,0,20,20
141,11,3200,35,20,20
142,11,3162,1225,20,20
143,12,3166,1094,20,20
144,12,3200,35,20,20
145,12,3155,0,20,20
146,12,3200,0,20,20
147,12,3166,1027,20,20
148,12,3166,1115,20,20
149,12,3165,1222,20,20
150,12,3165,1292,20,20
151,12,11,10,724,409
152,12,3165,1413,20,20
153,12,2701,1227,20,20
154,12,757,2089,20,20
155,12,3173,2240,20,20
156,12,725,0,20,20
157,12,671,2114,20,20
158,12,8,2240,20,20
159,12,1,409,20,20
160,12,3165,1379,20,20
161,13,3107,0,103,2250
162,13,8,2240,20,20
163,13,81,755,20,20
164,13,0,0,3210,356
165,13,774,346,20,20
166,13,0,2227,3210,23
167,13,790,2217,20,20
168,13,1429,2,20,20
169,13,0,355,20,20
170,13,3155,0,20,20
171,13,1669,1202,20,20
172,13,2716,2149,20,20
173,13,3200,35,20,20
174,13,3200,0,20,20
175,13,3164,1184,20,20
176,13,3164,1292,20,20
177,13,3164,1344,20,20
178,13,3160,2107,20,20
179,13,3160,2123,20,20
180,13,3097,1150,20,20
181,14,5,2240,20,20
182,14,1935,1274,20,20
183,14,3200,0,20,20
184,14,3173,2238,20,20
185,14,3168,943,20,20
186,14,3155,0,20,20
187,14,3167,431,20,20
188,14,3165,1500,20,20
189,14,3035,2046,20,20
190,14,1582,0,20,20
191,14,715,357,20,20
192,14,0,0,3210,367
193,14,289,1091,20,20
194,14,0,0,247,2250
195,14,7,0,20,20
196,14,1,379,20,20
197,14,3200,35,20,20
198,14,237,1573,20,20
199,15,3155,2087,20,20
200,15,3155,0,20,20
201,15,3200,35,20,20
202,15,3168,2240,20,20
203,15,3161,1097,20,20
204,15,3160,1222,20,20
205,15,3160,1345,20,20
206,15,3160,1380,20,20
207,15,3160,1417,20,20
208,15,3155,2018,20,20
209,15,3200,0,20,20
210,15,3155,2055,20,20
211,15,3155,2110,20,20
212,15,2317,77,20,20
213,15,1789,2155,20,20
214,15,0,2165,3210,85
215,15,388,413,20,20
216,15,6,4,20,20
217,15,3155,2039,20,20
218,16,3200,35,20,20
219,16,3,4,20,20
220,16,1007,492,20,20
221,16,3200,0,20,20
222,16,3155,0,20,20
223,17,3162,1225,20,20
224,17,3200,35,20,20
225,17,3155,0,20,20
226,17,3200,0,20,20
227,17,3163,1023,20,20
228,17,3163,1059,20,20
229,17,3163,1095,20,20
230,17,179,839,20,20
231,17,3163,1136,20,20
232,17,1522,1150,20,20
233,17,3162,1454,20,20
234,17,3018,138,20,20
235,17,2572,95,20,20
236,17,0,0,3210,105
237,17,1544,2155,20,20
238,17,0,2165,3210,85
239,17,3163,1116,20,20
240,18,15,0,3172,420
241,18,2784,438,20,20
242,18,3168,512,20,20
243,18,3169,431,20,20
244,18,3169,412,20,20
245,18,3169,942,20,20
246,18,3200,0,20,20
247,18,3155,0,20,20
248,18,3200,35,20,20
249,18,2054,1841,20,20
250,19,0,0,3210,76
251,19,3165,1484,20,20
252,19,3155,0,20,20
253,19,3200,35,20,20
254,19,3171,2098,20,20
255,19,3167,982,20,20
256,19,3165,1225,20,20
257,19,3158,2132,20,20
258,19,3158,2154,20,20
259,19,3120,923,20,20
260,19,3200,0,20,20
261,19,3014,66,20,20
262,19,2944,2240,20,20
263,19,2954,2108,227,142
264,19,3046,981,20,20
265,20,503,1827,20,20
266,20,7,2240,20,20
267,20,27,2197,20,20
268,20,59,19,20,20
269,20,0,2234,3210,16
270,20,1357,2224,20,20
271,20,1964,1862,20,20
272,20,2165,1639,20,20
273,20,3091,0,119,2250
274,20,3081,1105,20,20
275,20,3200,0,20,20
276,20,3155,0,20,20
277,20,3200,35,20,20
278,20,29,2123,20,20
