TYPE,ID,COPIES,BIN,X,Y,Z,LX,LY,LZ,ROTATION
BIN,0,1,0,0,0,0,216,173,110,
ITEM,0,1,0,0,0,0,108,76,30,XYZ
ITEM,2,1,0,0,0,30,92,81,55,XYZ
ITEM,1,1,0,0,0,85,110,43,25,XYZ
ITEM,0,1,0,108,0,0,108,76,30,XYZ
ITEM,1,1,0,92,0,30,110,43,25,XYZ
ITEM,2,1,0,110,0,55,92,81,55,XYZ
ITEM,1,1,0,0,43,85,110,43,25,XYZ
ITEM,1,1,0,92,43,30,110,43,25,XYZ
ITEM,0,1,0,0,76,0,108,76,30,XYZ
ITEM,0,1,0,108,76,0,108,76,30,XYZ
ITEM,2,1,0,0,81,30,92,81,55,XYZ
ITEM,1,1,0,0,86,85,110,43,25,XYZ
ITEM,2,1,0,110,81,55,92,81,55,XYZ
ITEM,1,1,0,92,86,30,110,43,25,XYZ
ITEM,1,1,0,0,129,85,110,43,25,XYZ
ITEM,1,1,0,92,129,30,110,43,25,XYZ
