TYPE,ID,COPIES,BIN,STACK,X,Y,Z,LX,LY,LZ,GROUP_ID
BIN,0,1,0,-1,0,0,0,13500,2440,2900,
STACK,0,1,0,0,0,0,0,1200,1000,1200,
ITEM,0,1,0,0,0,0,0,1200,1000,1200,0
STACK,1,1,0,1,0,1000,0,1200,1000,2000,
ITEM,0,1,0,1,0,1000,0,1200,1000,1200,0
ITEM,1,1,0,1,0,1000,1200,1200,1000,800,0
STACK,2,1,0,2,1200,0,0,1200,1000,2400,
ITEM,0,1,0,2,1200,0,0,1200,1000,1200,0
ITEM,0,1,0,2,1200,0,1200,1200,1000,1200,0
STACK,3,1,0,3,1200,1000,0,1200,1000,2400,
ITEM,0,1,0,3,1200,1000,0,1200,1000,1200,0
ITEM,0,1,0,3,1200,1000,1200,1200,1000,1200,0
STACK,4,1,0,4,2400,0,0,1200,1000,2400,
ITEM,0,1,0,4,2400,0,0,1200,1000,1200,0
ITEM,0,1,0,4,2400,0,1200,1200,1000,1200,0
STACK,5,1,0,5,2400,1000,0,1200,1000,2400,
ITEM,0,1,0,5,2400,1000,0,1200,1000,1200,0
ITEM,0,1,0,5,2400,1000,1200,1200,1000,1200,0
STACK,6,1,0,6,3600,0,0,1200,1000,2800,
ITEM,0,1,0,6,3600,0,0,1200,1000,1200,0
ITEM,1,1,0,6,3600,0,1200,1200,1000,800,0
ITEM,1,1,0,6,3600,0,2000,1200,1000,800,0
STACK,7,1,0,7,3600,1000,0,1200,1000,2800,
ITEM,0,1,0,7,3600,1000,0,1200,1000,1200,0
ITEM,1,1,0,7,3600,1000,1200,1200,1000,800,0
ITEM,1,1,0,7,3600,1000,2000,1200,1000,800,0
STACK,8,1,0,8,4800,0,0,1200,1000,2800,
ITEM,0,1,0,8,4800,0,0,1200,1000,1200,0
ITEM,1,1,0,8,4800,0,1200,1200,1000,800,0
ITEM,1,1,0,8,4800,0,2000,1200,1000,800,0
STACK,9,1,0,9,4800,1000,0,1200,1000,2800,
ITEM,0,1,0,9,4800,1000,0,1200,1000,1200,0
ITEM,1,1,0,9,4800,1000,1200,1200,1000,800,0
ITEM,1,1,0,9,4800,1000,2000,1200,1000,800,0
STACK,10,1,0,10,6000,0,0,1200,1000,2800,
ITEM,0,1,0,10,6000,0,0,1200,1000,1200,0
ITEM,1,1,0,10,6000,0,1200,1200,1000,800,0
ITEM,1,1,0,10,6000,0,2000,1200,1000,800,0
STACK,11,1,0,11,6000,1000,0,1200,1000,2800,
ITEM,0,1,0,11,6000,1000,0,1200,1000,1200,0
ITEM,1,1,0,11,6000,1000,1200,1200,1000,800,0
ITEM,1,1,0,11,6000,1000,2000,1200,1000,800,0
STACK,12,1,0,12,7200,0,0,1200,1000,2800,
ITEM,0,1,0,12,7200,0,0,1200,1000,1200,0
ITEM,1,1,0,12,7200,0,1200,1200,1000,800,0
ITEM,1,1,0,12,7200,0,2000,1200,1000,800,0
STACK,13,1,0,13,7200,1000,0,1200,1000,2800,
ITEM,0,1,0,13,7200,1000,0,1200,1000,1200,0
ITEM,1,1,0,13,7200,1000,1200,1200,1000,800,0
ITEM,1,1,0,13,7200,1000,2000,1200,1000,800,0
STACK,14,1,0,14,8400,0,0,1200,1000,2800,
ITEM,0,1,0,14,8400,0,0,1200,1000,1200,0
ITEM,1,1,0,14,8400,0,1200,1200,1000,800,0
ITEM,1,1,0,14,8400,0,2000,1200,1000,800,0
