TYPE,ID,COPIES,BIN,X,Y,Z,LX,LY,LZ,ROTATION
BIN,0,1,0,0,0,0,7500,2400,3000,
ITEM,0,1,0,0,0,0,1300,1200,1500,XYZ
ITEM,0,1,0,0,0,1500,1300,1200,1500,XYZ
ITEM,0,1,0,0,1200,0,1300,1200,1500,XYZ
ITEM,0,1,0,0,1200,1500,1300,1200,1500,XYZ
ITEM,1,1,0,1300,0,0,1300,1200,550,XYZ
ITEM,1,1,0,1300,0,550,1300,1200,550,XYZ
ITEM,1,1,0,1300,0,1100,1300,1200,550,XYZ
ITEM,1,1,0,1300,0,1650,1300,1200,550,XYZ
ITEM,3,1,0,1300,0,2200,1200,1200,450,XYZ
ITEM,7,1,0,1300,0,2650,500,400,350,XYZ
ITEM,1,1,0,1300,1200,0,1300,1200,550,XYZ
ITEM,1,1,0,1300,1200,550,1300,1200,550,XYZ
ITEM,1,1,0,1300,1200,1100,1300,1200,550,XYZ
ITEM,1,1,0,1300,1200,1650,1300,1200,550,XYZ
ITEM,6,1,0,1300,1200,2200,600,500,400,XYZ
ITEM,6,1,0,1300,1200,2600,600,500,400,XYZ
ITEM,7,1,0,1300,400,2650,500,400,350,XYZ
ITEM,7,1,0,1300,800,2650,500,400,350,XYZ
ITEM,8,1,0,1300,1700,2200,700,600,300,XYZ
ITEM,6,1,0,1300,1700,2500,600,500,400,XYZ
ITEM,7,1,0,1800,0,2650,500,400,350,XYZ
ITEM,8,1,0,1800,400,2650,700,600,300,XYZ
ITEM,6,1,0,1900,1200,2200,600,500,400,XYZ
ITEM,8,1,0,1900,1200,2600,700,600,300,XYZ
ITEM,8,1,0,1900,1800,2500,700,600,300,XYZ
ITEM,3,1,0,2500,0,2200,1200,1200,450,XYZ
ITEM,4,1,0,2600,0,0,1250,1200,1600,XYZ
ITEM,4,1,0,2600,1200,0,1250,1200,1600,XYZ
ITEM,5,1,0,2600,1200,1600,1250,1200,1100,XYZ
ITEM,3,1,0,2600,0,1600,1200,1200,450,XYZ
ITEM,5,1,0,3800,0,1600,1250,1200,1100,XYZ
ITEM,4,1,0,3850,0,0,1250,1200,1600,XYZ
ITEM,4,1,0,3850,1200,0,1250,1200,1600,XYZ
ITEM,5,1,0,3850,1200,1600,1250,1200,1100,XYZ
ITEM,5,1,0,5050,0,1600,1250,1200,1100,XYZ
ITEM,2,1,0,5100,0,0,1200,1200,1300,XYZ
ITEM,2,1,0,5100,1200,0,1200,1200,1300,XYZ
ITEM,2,1,0,5100,1200,1300,1200,1200,1300,XYZ
ITEM,2,1,0,6300,0,0,1200,1200,1300,XYZ
ITEM,3,1,0,6300,0,1300,1200,1200,450,XYZ
ITEM,3,1,0,6300,0,1750,1200,1200,450,XYZ
ITEM,3,1,0,6300,0,2200,1200,1200,450,XYZ
ITEM,3,1,0,6300,1200,0,1200,1200,450,XYZ
ITEM,3,1,0,6300,1200,450,1200,1200,450,XYZ
ITEM,3,1,0,6300,1200,900,1200,1200,450,XYZ
ITEM,3,1,0,6300,1200,1350,1200,1200,450,XYZ
ITEM,3,1,0,6300,1200,1800,1200,1200,450,XYZ
ITEM,3,1,0,6300,1200,2250,1200,1200,450,XYZ
