TYPE,ID,COPIES,BIN,STACK,X,Y,Z,LX,LY,LZ,GROUP_ID
BIN,0,1,0,-1,0,0,0,7500,2400,3000,
STACK,0,1,0,0,0,0,0,1300,1200,3000,
ITEM,0,1,0,0,0,0,0,1300,1200,1500,0
ITEM,0,1,0,0,0,0,1500,1300,1200,1500,0
STACK,1,1,0,1,0,1200,0,1300,1200,3000,
ITEM,0,1,0,1,0,1200,0,1300,1200,1500,0
ITEM,0,1,0,1,0,1200,1500,1300,1200,1500,0
STACK,2,1,0,2,1300,0,0,1300,1200,2750,
ITEM,1,1,0,2,1300,0,0,1300,1200,550,0
ITEM,1,1,0,2,1300,0,550,1300,1200,550,0
ITEM,1,1,0,2,1300,0,1100,1300,1200,550,0
ITEM,1,1,0,2,1300,0,1650,1300,1200,550,0
ITEM,1,1,0,2,1300,0,2200,1300,1200,550,0
STACK,3,1,0,3,1300,1200,0,1200,1200,2700,
ITEM,3,1,0,3,1300,1200,0,1200,1200,450,0
ITEM,3,1,0,3,1300,1200,450,1200,1200,450,0
ITEM,3,1,0,3,1300,1200,900,1200,1200,450,0
ITEM,3,1,0,3,1300,1200,1350,1200,1200,450,0
ITEM,3,1,0,3,1300,1200,1800,1200,1200,450,0
ITEM,3,1,0,3,1300,1200,2250,1200,1200,450,0
STACK,4,1,0,4,2500,1200,0,1200,1200,2700,
ITEM,3,1,0,4,2500,1200,0,1200,1200,450,0
ITEM,3,1,0,4,2500,1200,450,1200,1200,450,0
ITEM,3,1,0,4,2500,1200,900,1200,1200,450,0
ITEM,3,1,0,4,2500,1200,1350,1200,1200,450,0
ITEM,3,1,0,4,2500,1200,1800,1200,1200,450,0
ITEM,3,1,0,4,2500,1200,2250,1200,1200,450,0
STACK,5,1,0,5,2600,0,0,1250,1200,2700,
ITEM,4,1,0,5,2600,0,0,1250,1200,1600,0
ITEM,5,1,0,5,2600,0,1600,1250,1200,1100,0
STACK,6,1,0,6,3700,1200,0,1250,1200,2700,
ITEM,4,1,0,6,3700,1200,0,1250,1200,1600,0
ITEM,5,1,0,6,3700,1200,1600,1250,1200,1100,0
STACK,7,1,0,7,3850,0,0,1250,1200,2700,
ITEM,4,1,0,7,3850,0,0,1250,1200,1600,0
ITEM,5,1,0,7,3850,0,1600,1250,1200,1100,0
STACK,8,1,0,8,4950,1200,0,1250,1200,2700,
ITEM,4,1,0,8,4950,1200,0,1250,1200,1600,0
ITEM,5,1,0,8,4950,1200,1600,1250,1200,1100,0
STACK,9,1,0,9,5100,0,0,1200,1200,2600,
ITEM,2,1,0,9,5100,0,0,1200,1200,1300,0
ITEM,2,1,0,9,5100,0,1300,1200,1200,1300,0
STACK,10,1,0,10,6300,0,0,1200,1200,2600,
ITEM,2,1,0,10,6300,0,0,1200,1200,1300,0
ITEM,2,1,0,10,6300,0,1300,1200,1200,1300,0
STACK,11,1,0,11,6200,1200,0,1300,1200,1650,
ITEM,1,1,0,11,6200,1200,0,1300,1200,550,0
ITEM,1,1,0,11,6200,1200,550,1300,1200,550,0
ITEM,1,1,0,11,6200,1200,1100,1300,1200,550,0
