TYPE,ID,COPIES,BIN,STACK,X,Y,Z,LX,LY,LZ,GROUP_ID
BIN,0,1,0,-1,0,0,0,7500,2400,3000,
STACK,0,1,0,0,0,0,0,2500,1200,3000,
ITEM,0,1,0,0,0,0,0,2500,1200,1000,0
ITEM,0,1,0,0,0,0,1000,2500,1200,1000,0
ITEM,0,1,0,0,0,0,2000,2500,1200,1000,0
STACK,1,1,0,1,0,1200,0,2500,1200,3000,
ITEM,0,1,0,1,0,1200,0,2500,1200,1000,0
ITEM,0,1,0,1,0,1200,1000,2500,1200,1000,0
ITEM,0,1,0,1,0,1200,2000,2500,1200,1000,0
STACK,2,1,0,2,2500,0,0,2500,1200,3000,
ITEM,0,1,0,2,2500,0,0,2500,1200,1000,0
ITEM,0,1,0,2,2500,0,1000,2500,1200,1000,0
ITEM,0,1,0,2,2500,0,2000,2500,1200,1000,0
STACK,3,1,0,3,2500,1200,0,2500,1200,3000,
ITEM,1,1,0,3,2500,1200,0,2500,1200,1000,0
ITEM,1,1,0,3,2500,1200,1000,2500,1200,1000,0
ITEM,1,1,0,3,2500,1200,2000,2500,1200,1000,0
STACK,4,1,0,4,5000,0,0,2500,1200,3000,
ITEM,1,1,0,4,5000,0,0,2500,1200,1000,0
ITEM,1,1,0,4,5000,0,1000,2500,1200,1000,0
ITEM,1,1,0,4,5000,0,2000,2500,1200,1000,0
STACK,5,1,0,5,5000,1200,0,2500,1200,3000,
ITEM,1,1,0,5,5000,1200,0,2500,1200,1000,0
ITEM,1,1,0,5,5000,1200,1000,2500,1200,1000,0
ITEM,1,1,0,5,5000,1200,2000,2500,1200,1000,0
