TYPE,ID,COPIES,BIN,STACK,X,Y,Z,LX,LY,LZ,GROUP_ID
BIN,0,2,0,-1,0,0,0,7500,2400,3000,
STACK,0,2,0,0,0,0,0,2400,1250,3000,
ITEM,0,2,0,0,0,0,0,2400,1250,1000,0
ITEM,0,2,0,0,0,0,1000,2400,1250,1000,0
ITEM,0,2,0,0,0,0,2000,2400,1250,1000,0
STACK,1,2,0,1,2400,0,0,2400,1250,3000,
ITEM,0,2,0,1,2400,0,0,2400,1250,1000,0
ITEM,0,2,0,1,2400,0,1000,2400,1250,1000,0
ITEM,0,2,0,1,2400,0,2000,2400,1250,1000,0
STACK,2,2,0,2,4800,0,0,2400,1250,3000,
ITEM,0,2,0,2,4800,0,0,2400,1250,1000,0
ITEM,0,2,0,2,4800,0,1000,2400,1250,1000,0
ITEM,0,2,0,2,4800,0,2000,2400,1250,1000,0
