TYPE,ID,COPIES,BIN,STACK,X,Y,Z,LX,LY,LZ,GROUP_ID
BIN,0,1,0,-1,0,0,0,7500,2400,3000,
STACK,0,1,0,0,0,0,0,2500,800,3000,
ITEM,0,1,0,0,0,0,0,2500,800,750,0
ITEM,0,1,0,0,0,0,750,2500,800,750,0
ITEM,0,1,0,0,0,0,1500,2500,800,750,0
ITEM,0,1,0,0,0,0,2250,2500,800,750,0
STACK,1,1,0,1,0,800,0,2500,800,3000,
ITEM,0,1,0,1,0,800,0,2500,800,750,0
ITEM,0,1,0,1,0,800,750,2500,800,750,0
ITEM,0,1,0,1,0,800,1500,2500,800,750,0
ITEM,0,1,0,1,0,800,2250,2500,800,750,0
STACK,2,1,0,2,0,1600,0,2500,800,3000,
ITEM,1,1,0,2,0,1600,0,2500,800,1000,0
ITEM,1,1,0,2,0,1600,1000,2500,800,1000,0
ITEM,1,1,0,2,0,1600,2000,2500,800,1000,0
STACK,3,1,0,3,2500,0,0,2500,800,3000,
ITEM,1,1,0,3,2500,0,0,2500,800,1000,0
ITEM,1,1,0,3,2500,0,1000,2500,800,1000,0
ITEM,1,1,0,3,2500,0,2000,2500,800,1000,0
STACK,4,1,0,4,2500,800,0,2500,800,3000,
ITEM,1,1,0,4,2500,800,0,2500,800,1000,0
ITEM,1,1,0,4,2500,800,1000,2500,800,1000,0
ITEM,1,1,0,4,2500,800,2000,2500,800,1000,0
STACK,5,1,0,5,2500,1600,0,2500,800,2500,
ITEM,2,1,0,5,2500,1600,0,2500,800,1250,0
ITEM,2,1,0,5,2500,1600,1250,2500,800,1250,0
STACK,6,1,0,6,5000,0,0,2500,800,2500,
ITEM,2,1,0,6,5000,0,0,2500,800,1250,0
ITEM,2,1,0,6,5000,0,1250,2500,800,1250,0
STACK,7,1,0,7,5000,800,0,2500,800,2500,
ITEM,2,1,0,7,5000,800,0,2500,800,1250,0
ITEM,2,1,0,7,5000,800,1250,2500,800,1250,0
STACK,8,1,0,8,5000,1600,0,2500,800,2500,
ITEM,2,1,0,8,5000,1600,0,2500,800,1250,0
ITEM,2,1,0,8,5000,1600,1250,2500,800,1250,0
