TYPE,ID,COPIES,BIN,X,Y,LX,LY,GROUP_ID
BIN,0,1,0,0,0,1000,500,
ITEM,0,1,0,0,0,150,250,0
ITEM,0,1,0,0,250,150,250,0
ITEM,0,1,0,150,0,150,250,0
ITEM,0,1,0,150,250,150,250,0
ITEM,0,1,0,300,0,150,250,0
ITEM,0,1,0,300,250,150,250,0
ITEM,0,1,0,450,0,150,250,0
ITEM,0,1,0,450,250,150,250,0
ITEM,1,1,0,600,0,200,100,0
ITEM,1,1,0,600,100,200,100,0
ITEM,1,1,0,600,200,200,100,0
ITEM,1,1,0,600,300,200,100,0
ITEM,1,1,0,600,400,200,100,0
ITEM,1,1,0,800,0,200,100,0
ITEM,1,1,0,800,100,200,100,0
ITEM,1,1,0,800,200,200,100,0
ITEM,1,1,0,800,300,200,100,0
ITEM,1,1,0,800,400,200,100,0
BIN,0,1,1,0,0,1000,500,
ITEM,0,1,1,0,0,150,250,0
ITEM,2,1,1,0,250,75,175,0
ITEM,2,1,1,0,425,175,75,0
ITEM,2,1,1,75,250,75,175,0
ITEM,2,1,1,150,0,75,175,0
ITEM,0,1,1,150,175,250,150,0
ITEM,1,1,1,150,325,200,100,0
ITEM,2,1,1,175,425,175,75,0
ITEM,2,1,1,225,0,75,175,0
ITEM,2,1,1,300,0,75,175,0
ITEM,1,1,1,350,325,200,100,0
ITEM,2,1,1,350,425,175,75,0
ITEM,2,1,1,375,0,175,75,0
ITEM,2,1,1,375,75,175,75,0
ITEM,2,1,1,400,150,75,175,0
ITEM,2,1,1,475,150,75,175,0
