TYPE,ID,COPIES,BIN,X,Y,LX,LY,GROUP_ID
BIN,0,1,0,0,0,2000,500,
ITEM,0,1,0,0,0,150,250,0
ITEM,0,1,0,0,250,150,250,0
ITEM,0,1,0,150,0,150,250,0
ITEM,0,1,0,150,250,150,250,0
ITEM,0,1,0,300,0,150,250,0
ITEM,0,1,0,300,250,150,250,0
ITEM,0,1,0,450,0,150,250,0
ITEM,0,1,0,450,250,150,250,0
ITEM,1,1,0,600,0,100,200,0
ITEM,0,1,0,600,200,250,150,0
ITEM,0,1,0,600,350,250,150,0
ITEM,1,1,0,700,0,200,100,0
ITEM,1,1,0,700,100,200,100,0
ITEM,1,1,0,850,200,200,100,0
ITEM,1,1,0,850,300,200,100,0
ITEM,1,1,0,850,400,200,100,0
ITEM,1,1,0,900,0,200,100,0
ITEM,1,1,0,900,100,200,100,0
ITEM,1,1,0,1050,200,200,100,0
ITEM,1,1,0,1050,300,200,100,0
ITEM,1,1,0,1050,400,200,100,0
ITEM,1,1,0,1100,0,100,200,0
ITEM,2,1,0,1200,0,175,75,0
ITEM,2,1,0,1200,75,175,75,0
ITEM,2,1,0,1250,150,75,175,0
ITEM,2,1,0,1250,325,75,175,0
ITEM,2,1,0,1325,150,75,175,0
ITEM,2,1,0,1325,325,75,175,0
ITEM,2,1,0,1375,0,175,75,0
ITEM,2,1,0,1375,75,175,75,0
ITEM,2,1,0,1400,150,75,175,0
ITEM,2,1,0,1400,325,75,175,0
ITEM,2,1,0,1475,150,75,175,0
ITEM,2,1,0,1475,325,75,175,0
