TYPE,ID,COPIES,BIN,X,Y,LX,LY,GROUP_ID
BIN,0,1,0,0,0,1000,500,
ITEM,0,1,0,0,0,250,150,0
ITEM,0,1,0,250,0,250,150,0
ITEM,0,1,0,500,0,250,150,0
ITEM,0,1,0,750,0,250,150,0
ITEM,0,1,0,0,150,150,250,0
ITEM,0,1,0,150,150,150,250,0
ITEM,0,1,0,300,150,150,250,0
ITEM,0,1,0,450,150,150,250,0
ITEM,0,1,0,600,150,250,150,0
ITEM,0,1,0,850,150,150,250,0
ITEM,1,1,0,600,300,100,200,0
ITEM,1,1,0,700,300,100,200,0
ITEM,1,1,0,0,400,200,100,0
ITEM,1,1,0,200,400,200,100,0
ITEM,1,1,0,400,400,200,100,0
ITEM,1,1,0,800,400,200,100,0
BIN,1,1,1,0,0,700,400,
ITEM,1,1,1,0,0,200,100,0
ITEM,1,1,1,0,100,200,100,0
ITEM,1,1,1,0,200,200,100,0
ITEM,1,1,1,0,300,200,100,0
ITEM,1,1,1,200,0,100,200,0
ITEM,1,1,1,200,200,100,200,0
ITEM,2,1,1,300,0,175,75,0
ITEM,2,1,1,300,75,175,75,0
ITEM,2,1,1,300,150,175,75,0
ITEM,2,1,1,300,225,75,175,0
ITEM,2,1,1,375,225,75,175,0
ITEM,2,1,1,450,225,75,175,0
ITEM,2,1,1,475,0,75,175,0
ITEM,2,1,1,525,175,175,75,0
ITEM,2,1,1,525,250,175,75,0
ITEM,2,1,1,525,325,175,75,0
ITEM,2,1,1,550,0,75,175,0
ITEM,2,1,1,625,0,75,175,0
