TYPE,ID,COPIES,BIN,X,Y,LX,LY,GROUP_ID
BIN,0,1,0,0,0,1000,500,
ITEM,0,1,0,0,0,300,200,0
ITEM,0,1,0,0,200,200,300,0
ITEM,0,1,0,200,200,200,300,0
ITEM,0,1,0,300,0,300,200,0
ITEM,0,1,0,400,200,200,300,0
ITEM,1,1,0,600,0,250,150,0
ITEM,1,1,0,600,150,250,150,0
ITEM,1,1,0,600,300,250,150,0
ITEM,1,1,0,850,0,150,250,0
ITEM,1,1,0,850,250,150,250,0
BIN,0,1,1,0,0,1000,500,
ITEM,0,1,1,0,0,300,200,0
ITEM,0,1,1,0,200,200,300,0
ITEM,0,1,1,200,200,200,300,0
ITEM,0,1,1,300,0,300,200,0
ITEM,0,1,1,400,200,200,300,0
ITEM,1,1,1,600,0,150,250,0
ITEM,1,1,1,600,250,150,250,0
ITEM,1,1,1,750,0,250,150,0
ITEM,1,1,1,750,150,250,150,0
ITEM,1,1,1,750,300,250,150,0
