PLATE_ID,COPIES,NODE_ID,X,Y,WIDTH,HEIGHT,TYPE,CUT,PARENT
0,1,0,0,0,10,10,0,0,
0,1,1,0,0,7,10,-2,1,0
0,1,2,0,0,7,7,-2,2,1
0,1,3,0,0,7,7,4,3,2
0,1,4,0,7,7,2,-2,2,1
0,1,5,0,7,6,2,1,3,4
0,1,6,6,7,1,2,-1,3,4
0,1,7,0,9,7,1,-1,2,1
0,1,8,7,0,3,10,-2,1,0
0,1,9,7,0,3,6,-2,2,8
0,1,10,7,0,3,6,3,3,9
0,1,11,7,6,3,4,-1,2,8
1,1,12,0,0,10,10,0,0,
1,1,13,0,0,10,10,-2,1,12
1,1,14,0,0,10,4,-2,2,13
1,1,15,0,0,10,4,0,3,14
1,1,16,0,4,10,5,-2,2,13
1,1,17,0,4,7,5,9,3,16
1,1,18,7,4,3,5,8,3,16
1,1,19,0,9,10,1,-1,2,13
2,1,20,0,0,10,10,0,0,
2,1,21,0,0,6,10,-2,1,20
2,1,22,0,0,6,5,-2,2,21
2,1,23,0,0,6,5,6,3,22
2,1,24,0,5,6,4,-2,2,21
2,1,25,0,5,6,4,2,3,24
2,1,26,0,9,6,1,-1,2,21
2,1,27,6,0,3,10,-2,1,20
2,1,28,6,0,3,6,-2,2,27
2,1,29,6,0,3,6,5,3,28
2,1,30,6,6,3,4,-1,2,27
2,1,31,9,0,1,10,-1,1,20
3,1,32,0,0,10,10,0,0,
3,1,33,0,0,2,10,-2,1,32
3,1,34,0,0,2,5,-2,2,33
3,1,35,0,0,2,5,7,3,34
3,1,36,0,5,2,5,-2,2,33
3,1,37,0,5,2,5,7,3,36
3,1,38,2,0,8,10,-3,1,32
