PLATE_ID,COPIES,NODE_ID,X,Y,WIDTH,HEIGHT,TYPE,CUT,PARENT
0,1,0,0,0,10,10,0,0,
0,1,1,0,0,10,10,-2,1,0
0,1,2,0,0,10,4,-2,2,1
0,1,3,0,0,10,4,0,3,2
0,1,4,0,4,10,5,-2,2,1
0,1,5,0,4,7,5,9,3,4
0,1,6,7,4,3,5,-1,3,4
0,1,7,0,9,10,1,-1,2,1
1,1,8,0,0,10,10,0,0,
1,1,9,0,0,6,10,-2,1,8
1,1,10,0,0,6,4,-2,2,9
1,1,11,0,0,6,4,2,3,10
1,1,12,0,4,6,5,-2,2,9
1,1,13,0,4,6,5,6,3,12
1,1,14,0,9,6,1,-1,2,9
1,1,15,6,0,4,10,-2,1,8
1,1,16,6,0,4,5,-2,2,15
1,1,17,6,0,2,5,7,3,16
1,1,18,8,0,2,5,7,3,16
1,1,19,6,5,4,5,-2,2,15
1,1,20,6,5,3,5,8,3,19
1,1,21,9,5,1,5,-1,3,19
2,1,22,0,0,10,10,0,0,
2,1,23,0,0,7,10,-2,1,22
2,1,24,0,0,7,7,-2,2,23
2,1,25,0,0,7,7,4,3,24
2,1,26,0,7,7,2,-2,2,23
2,1,27,0,7,6,2,1,3,26
2,1,28,6,7,1,2,-1,3,26
2,1,29,0,9,7,1,-1,2,23
2,1,30,7,0,3,10,-2,1,22
2,1,31,7,0,3,6,-2,2,30
2,1,32,7,0,3,6,3,3,31
2,1,33,7,6,3,4,-1,2,30
3,1,34,0,0,10,10,0,0,
3,1,35,0,0,3,10,-2,1,34
3,1,36,0,0,3,6,-2,2,35
3,1,37,0,0,3,6,5,3,36
3,1,38,0,6,3,4,-1,2,35
3,1,39,3,0,7,10,-3,1,34
