PLATE_ID,COPIES,NODE_ID,X,Y,WIDTH,HEIGHT,TYPE,CUT,PARENT
0,1,0,0,0,10,10,0,0,
0,1,1,0,0,10,10,-2,1,0
0,1,2,0,0,10,5,-2,2,1
0,1,3,0,0,6,5,6,3,2
0,1,4,6,0,2,5,7,3,2
0,1,5,8,0,2,5,7,3,2
0,1,6,0,5,10,5,-2,2,1
0,1,7,0,5,3,5,8,3,6
0,1,8,3,5,7,5,9,3,6
1,1,9,0,0,10,10,0,0,
1,1,10,0,0,10,10,-2,1,9
1,1,11,0,0,10,4,-2,2,10
1,1,12,0,0,10,4,0,3,11
1,1,13,0,4,10,6,-2,2,10
1,1,14,0,4,6,6,-2,3,13
1,1,15,0,4,6,4,2,4,14
1,1,16,0,8,6,2,-1,4,14
1,1,17,6,4,3,6,3,3,13
1,1,18,9,4,1,6,-1,3,13
2,1,19,0,0,10,10,0,0,
2,1,20,0,0,7,10,-2,1,19
2,1,21,0,0,7,7,-2,2,20
2,1,22,0,0,7,7,4,3,21
2,1,23,0,7,7,2,-2,2,20
2,1,24,0,7,6,2,1,3,23
2,1,25,6,7,1,2,-1,3,23
2,1,26,0,9,7,1,-1,2,20
2,1,27,7,0,3,10,-2,1,19
2,1,28,7,0,3,6,-2,2,27
2,1,29,7,0,3,6,5,3,28
2,1,30,7,6,3,4,-1,2,27
