PLATE_ID,COPIES,NODE_ID,X,Y,WIDTH,HEIGHT,TYPE,CUT,PARENT
0,1,0,0,0,80,40,0,0,
0,1,1,0,0,47,40,-2,1,0
0,1,2,0,0,47,17,-2,2,1
0,1,3,0,0,17,17,2,3,2
0,1,4,17,0,17,17,2,3,2
0,1,5,34,0,13,17,-2,3,2
0,1,6,34,0,13,13,3,4,5
0,1,7,34,13,13,4,4,4,5
0,1,8,0,17,47,23,-2,2,1
0,1,9,0,17,23,23,0,3,8
0,1,10,23,17,23,23,0,3,8
0,1,11,46,17,1,23,-1,3,8
0,1,12,47,0,20,40,-2,1,0
0,1,13,47,0,20,11,-2,2,12
0,1,14,47,0,11,11,8,3,13
0,1,15,58,0,9,11,7,3,13
0,1,16,47,11,20,19,-2,2,12
0,1,17,47,11,19,19,1,3,16
0,1,18,66,11,1,19,-1,3,16
0,1,19,47,30,20,10,-2,2,12
0,1,20,47,30,13,10,5,3,19
0,1,21,60,30,7,10,-2,3,19
0,1,22,60,30,7,7,10,4,21
0,1,23,60,37,7,3,-1,4,21
0,1,24,67,0,13,40,-2,1,0
0,1,25,67,0,13,13,-2,2,24
0,1,26,67,0,13,13,3,3,25
0,1,27,67,13,13,24,-2,2,24
0,1,28,67,13,13,24,-2,3,27
0,1,29,67,13,13,13,3,4,28
0,1,30,67,26,13,11,9,4,28
0,1,31,67,37,13,3,-1,2,24
1,1,32,0,0,80,40,0,0,
1,1,33,0,0,19,40,-2,1,32
1,1,34,0,0,19,19,-2,2,33
1,1,35,0,0,19,19,1,3,34
1,1,36,0,19,19,19,-2,2,33
1,1,37,0,19,19,19,1,3,36
1,1,38,0,38,19,2,-1,2,33
1,1,39,19,0,23,40,-2,1,32
1,1,40,19,0,23,23,-2,2,39
1,1,41,19,0,23,23,0,3,40
1,1,42,19,23,23,17,-2,2,39
1,1,43,19,23,17,17,2,3,42
1,1,44,36,23,5,17,-2,3,42
1,1,45,36,23,5,5,11,4,44
1,1,46,36,28,5,12,-1,4,44
1,1,47,41,23,1,17,-1,3,42
1,1,48,42,0,12,40,-2,1,32
1,1,49,42,0,12,7,-2,2,48
1,1,50,42,0,7,7,10,3,49
1,1,51,49,0,5,7,-2,3,49
1,1,52,49,0,5,5,11,4,51
1,1,53,49,5,5,2,-1,4,51
1,1,54,42,7,12,20,-2,2,48
1,1,55,42,7,12,20,6,3,54
1,1,56,42,27,12,7,-2,2,48
1,1,57,42,27,7,7,10,3,56
1,1,58,49,27,5,7,-2,3,56
1,1,59,49,27,5,5,11,4,58
1,1,60,49,32,5,2,-1,4,58
1,1,61,42,34,12,6,-1,2,48
1,1,62,54,0,26,40,-3,1,32
