PLATE_ID,COPIES,NODE_ID,X,Y,WIDTH,HEIGHT,TYPE,CUT,PARENT
0,1,0,0,0,80,40,0,0,
0,1,1,0,0,51,40,-2,1,0
0,1,2,0,0,51,17,-2,2,1
0,1,3,0,0,17,17,2,3,2
0,1,4,17,0,17,17,2,3,2
0,1,5,34,0,17,17,2,3,2
0,1,6,0,17,51,23,-2,2,1
0,1,7,0,17,23,23,0,3,6
0,1,8,23,17,23,23,0,3,6
0,1,9,46,17,5,23,-1,3,6
0,1,10,51,0,13,40,-2,1,0
0,1,11,51,0,13,10,-2,2,10
0,1,12,51,0,13,10,5,3,11
0,1,13,51,10,13,13,-2,2,10
0,1,14,51,10,13,13,3,3,13
0,1,15,51,23,13,13,-2,2,10
0,1,16,51,23,13,13,3,3,15
0,1,17,51,36,13,4,-2,2,10
0,1,18,51,36,13,4,4,3,17
0,1,19,64,0,14,40,-2,1,0
0,1,20,64,0,14,13,-2,2,19
0,1,21,64,0,13,13,3,3,20
0,1,22,77,0,1,13,-1,3,20
0,1,23,64,13,14,7,-2,2,19
0,1,24,64,13,7,7,10,3,23
0,1,25,71,13,7,7,10,3,23
0,1,26,64,20,14,20,-2,2,19
0,1,27,64,20,12,20,6,3,26
0,1,28,76,20,2,20,-1,3,26
0,1,29,78,0,2,40,-1,1,0
1,1,30,0,0,80,40,0,0,
1,1,31,0,0,23,40,-2,1,30
1,1,32,0,0,23,23,-2,2,31
1,1,33,0,0,23,23,0,3,32
1,1,34,0,23,23,11,-2,2,31
1,1,35,0,23,13,11,9,3,34
1,1,36,13,23,9,11,7,3,34
1,1,37,22,23,1,11,-1,3,34
1,1,38,0,34,23,5,-2,2,31
1,1,39,0,34,5,5,11,3,38
1,1,40,5,34,5,5,11,3,38
1,1,41,10,34,5,5,11,3,38
1,1,42,15,34,8,5,-1,3,38
1,1,43,0,39,23,1,-1,2,31
1,1,44,23,0,19,40,-2,1,30
1,1,45,23,0,19,19,-2,2,44
1,1,46,23,0,19,19,1,3,45
1,1,47,23,19,19,19,-2,2,44
1,1,48,23,19,19,19,1,3,47
1,1,49,23,38,19,2,-1,2,44
1,1,50,42,0,19,40,-2,1,30
1,1,51,42,0,19,19,-2,2,50
1,1,52,42,0,19,19,1,3,51
1,1,53,42,19,19,11,-2,2,50
1,1,54,42,19,11,11,8,3,53
1,1,55,53,19,8,11,-1,3,53
1,1,56,42,30,19,7,-2,2,50
1,1,57,42,30,7,7,10,3,56
1,1,58,49,30,12,7,-1,3,56
1,1,59,42,37,19,3,-1,2,50
1,1,60,61,0,19,40,-3,1,30
