TYPE,ID,COPIES,BIN,X,Y,Z,LX,LY,LZ,ROTATION
BIN,0,1,0,0,0,0,587,233,220,
ITEM,2,1,0,0,0,0,95,76,60,XYZ
ITEM,2,1,0,95,0,0,95,76,60,XYZ
ITEM,2,1,0,190,0,0,95,76,60,XYZ
ITEM,2,1,0,285,0,0,95,76,60,XYZ
ITEM,2,1,0,380,0,0,95,76,60,XYZ
ITEM,2,1,0,475,0,0,95,76,60,XYZ
ITEM,2,1,0,0,76,0,95,76,60,XYZ
ITEM,2,1,0,95,76,0,95,76,60,XYZ
ITEM,2,1,0,190,76,0,95,76,60,XYZ
ITEM,2,1,0,285,76,0,95,76,60,XYZ
ITEM,2,1,0,380,76,0,95,76,60,XYZ
ITEM,2,1,0,475,76,0,95,76,60,XYZ
ITEM,2,1,0,0,152,0,95,76,60,XYZ
ITEM,2,1,0,95,152,0,95,76,60,XYZ
ITEM,2,1,0,190,152,0,95,76,60,XYZ
ITEM,2,1,0,285,152,0,60,76,95,ZYX
ITEM,2,1,0,345,152,0,60,76,95,ZYX
ITEM,2,1,0,405,152,0,60,76,95,ZYX
ITEM,2,1,0,465,152,0,60,76,95,ZYX
ITEM,2,1,0,525,152,0,60,76,95,ZYX
ITEM,2,1,0,0,0,60,95,76,60,XYZ
ITEM,2,1,0,95,0,60,95,76,60,XYZ
ITEM,2,1,0,190,0,60,95,76,60,XYZ
ITEM,2,1,0,285,0,60,95,76,60,XYZ
ITEM,2,1,0,380,0,60,95,76,60,XYZ
ITEM,2,1,0,475,0,60,95,76,60,XYZ
ITEM,2,1,0,0,76,60,95,76,60,XYZ
ITEM,2,1,0,95,76,60,95,76,60,XYZ
ITEM,2,1,0,190,76,60,95,76,60,XYZ
ITEM,2,1,0,285,76,60,95,76,60,XYZ
ITEM,2,1,0,380,76,60,95,76,60,XYZ
ITEM,2,1,0,475,76,60,95,76,60,XYZ
ITEM,2,1,0,0,152,60,95,76,60,XYZ
ITEM,2,1,0,95,152,60,95,76,60,XYZ
ITEM,2,1,0,190,152,60,95,76,60,XYZ
ITEM,2,1,0,285,152,95,60,76,95,ZYX
ITEM,2,1,0,345,152,95,60,76,95,ZYX
ITEM,2,1,0,405,152,95,60,76,95,ZYX
ITEM,2,1,0,465,152,95,60,76,95,ZYX
ITEM,2,1,0,525,152,95,60,76,95,ZYX
ITEM,2,1,0,0,0,120,95,76,60,XYZ
ITEM,2,1,0,95,0,120,95,76,60,XYZ
ITEM,2,1,0,190,0,120,95,76,60,XYZ
ITEM,2,1,0,285,0,120,95,76,60,XYZ
ITEM,2,1,0,380,0,120,95,76,60,XYZ
ITEM,0,1,0,475,0,120,68,66,31,XYZ
ITEM,0,1,0,0,76,120,68,66,31,XYZ
ITEM,0,1,0,68,76,120,68,66,31,XYZ
ITEM,0,1,0,136,76,120,68,66,31,XYZ
ITEM,0,1,0,204,76,120,68,66,31,XYZ
ITEM,0,1,0,272,76,120,68,66,31,XYZ
ITEM,0,1,0,340,76,120,68,66,31,XYZ
ITEM,0,1,0,408,76,120,68,66,31,XYZ
ITEM,0,1,0,476,66,120,68,66,31,XYZ
ITEM,0,1,0,0,142,120,68,66,31,XYZ
ITEM,0,1,0,68,142,120,68,66,31,XYZ
ITEM,0,1,0,136,142,120,68,66,31,XYZ
ITEM,0,1,0,204,142,120,68,66,31,XYZ
ITEM,1,1,0,544,0,120,34,120,26,YXZ
ITEM,1,1,0,544,0,146,34,120,26,YXZ
ITEM,0,1,0,475,0,151,68,66,31,XYZ
ITEM,0,1,0,0,76,151,68,66,31,XYZ
ITEM,0,1,0,68,76,151,68,66,31,XYZ
ITEM,0,1,0,136,76,151,68,66,31,XYZ
ITEM,0,1,0,204,76,151,68,66,31,XYZ
ITEM,0,1,0,272,76,151,68,66,31,XYZ
ITEM,0,1,0,340,76,151,68,66,31,XYZ
ITEM,0,1,0,408,76,151,68,66,31,XYZ
ITEM,0,1,0,476,66,151,68,66,31,XYZ
ITEM,0,1,0,0,142,151,68,66,31,XYZ
ITEM,0,1,0,68,142,151,68,66,31,XYZ
ITEM,0,1,0,136,142,151,68,66,31,XYZ
ITEM,0,1,0,204,142,151,68,66,31,XYZ
ITEM,1,1,0,544,0,172,34,120,26,YXZ
ITEM,0,1,0,0,0,180,68,66,31,XYZ
ITEM,0,1,0,68,0,180,68,66,31,XYZ
ITEM,0,1,0,136,0,180,68,66,31,XYZ
ITEM,0,1,0,204,0,180,68,66,31,XYZ
ITEM,0,1,0,272,0,180,68,66,31,XYZ
ITEM,0,1,0,340,0,180,68,66,31,XYZ
ITEM,0,1,0,408,0,180,66,68,31,YXZ
ITEM,0,1,0,474,0,182,68,66,31,XYZ
ITEM,0,1,0,0,66,182,68,66,31,XYZ
ITEM,0,1,0,68,66,182,68,66,31,XYZ
ITEM,0,1,0,136,66,182,68,66,31,XYZ
ITEM,0,1,0,204,66,182,68,66,31,XYZ
ITEM,0,1,0,272,66,182,68,66,31,XYZ
ITEM,0,1,0,340,66,182,68,66,31,XYZ
ITEM,0,1,0,0,132,182,68,66,31,XYZ
ITEM,0,1,0,68,132,182,68,66,31,XYZ
ITEM,0,1,0,136,132,182,68,66,31,XYZ
ITEM,0,1,0,204,132,182,68,66,31,XYZ
ITEM,1,1,0,408,68,182,120,26,34,XZY
ITEM,1,1,0,0,198,182,120,34,26,XYZ
ITEM,1,1,0,120,198,182,120,34,26,XYZ
ITEM,1,1,0,408,94,182,120,26,34,XZY
ITEM,1,1,0,408,120,182,120,26,34,XZY
ITEM,1,1,0,272,132,190,120,34,26,XYZ
ITEM,1,1,0,240,198,190,120,34,26,XYZ
ITEM,1,1,0,392,146,190,120,34,26,XYZ
ITEM,1,1,0,360,180,190,120,34,26,XYZ
