TYPE,ID,COPIES,BIN,STACK,X,Y,Z,LX,LY,LZ,GROUP_ID
BIN,0,1,0,-1,0,0,0,13500,2440,2900,
STACK,0,1,0,0,0,0,0,1610,1208,2900,
ITEM,13,1,0,0,0,0,0,1610,1208,980,0
ITEM,13,1,0,0,0,0,960,1610,1208,980,0
ITEM,13,1,0,0,0,0,1920,1610,1208,980,0
STACK,1,1,0,1,0,1208,0,1610,1208,2900,
ITEM,13,1,0,1,0,1208,0,1610,1208,980,0
ITEM,13,1,0,1,0,1208,960,1610,1208,980,0
ITEM,13,1,0,1,0,1208,1920,1610,1208,980,0
STACK,2,1,0,2,1610,0,0,1610,1208,2900,
ITEM,6,1,0,2,1610,0,0,1610,1208,980,0
ITEM,6,1,0,2,1610,0,960,1610,1208,980,0
ITEM,6,1,0,2,1610,0,1920,1610,1208,980,0
STACK,3,1,0,3,1610,1208,0,1610,1208,2900,
ITEM,6,1,0,3,1610,1208,0,1610,1208,980,0
ITEM,6,1,0,3,1610,1208,960,1610,1208,980,0
ITEM,6,1,0,3,1610,1208,1920,1610,1208,980,0
STACK,4,1,0,4,3220,0,0,1610,1208,2900,
ITEM,14,1,0,4,3220,0,0,1610,1208,980,0
ITEM,14,1,0,4,3220,0,960,1610,1208,980,0
ITEM,14,1,0,4,3220,0,1920,1610,1208,980,0
STACK,5,1,0,5,3220,1208,0,1610,1208,2900,
ITEM,5,1,0,5,3220,1208,0,1610,1208,980,0
ITEM,5,1,0,5,3220,1208,960,1610,1208,980,0
ITEM,5,1,0,5,3220,1208,1920,1610,1208,980,0
STACK,6,1,0,6,4830,0,0,1610,1208,2900,
ITEM,5,1,0,6,4830,0,0,1610,1208,980,0
ITEM,5,1,0,6,4830,0,960,1610,1208,980,0
ITEM,5,1,0,6,4830,0,1920,1610,1208,980,0
STACK,7,1,0,7,4830,1208,0,1610,1208,2900,
ITEM,6,1,0,7,4830,1208,0,1610,1208,980,0
ITEM,13,1,0,7,4830,1208,960,1610,1208,980,0
ITEM,14,1,0,7,4830,1208,1920,1610,1208,980,0
STACK,8,1,0,8,6440,0,0,1010,1206,2747,
ITEM,0,1,0,8,6440,0,0,1010,1206,1181,0
ITEM,12,1,0,8,6440,0,1181,1010,1206,1181,0
ITEM,16,1,0,8,6440,0,2362,1010,1206,385,0
STACK,9,1,0,9,6440,1208,0,1000,1200,2835,
ITEM,3,1,0,9,6440,1208,0,1000,1200,975,0
ITEM,3,1,0,9,6440,1208,930,1000,1200,975,0
ITEM,3,1,0,9,6440,1208,1860,1000,1200,975,0
STACK,10,1,0,10,7440,1208,0,1000,1200,2835,
ITEM,3,1,0,10,7440,1208,0,1000,1200,975,0
ITEM,3,1,0,10,7440,1208,930,1000,1200,975,0
ITEM,3,1,0,10,7440,1208,1860,1000,1200,975,0
STACK,11,1,0,11,7450,0,0,1010,1206,2747,
ITEM,1,1,0,11,7450,0,0,1010,1206,1181,0
ITEM,7,1,0,11,7450,0,1181,1010,1206,385,0
ITEM,15,1,0,11,7450,0,1566,1010,1206,1181,0
STACK,12,1,0,12,8440,1208,0,1000,1200,2835,
ITEM,3,1,0,12,8440,1208,0,1000,1200,975,0
ITEM,3,1,0,12,8440,1208,930,1000,1200,975,0
ITEM,3,1,0,12,8440,1208,1860,1000,1200,975,0
STACK,13,1,0,13,8460,0,0,1010,1206,2721,
ITEM,7,1,0,13,8460,0,0,1010,1206,385,0
ITEM,9,1,0,13,8460,0,385,1010,1206,385,0
ITEM,9,1,0,13,8460,0,770,1010,1206,385,0
ITEM,10,1,0,13,8460,0,1155,1010,1206,1181,0
ITEM,11,1,0,13,8460,0,2336,1010,1206,385,0
STACK,14,1,0,14,9440,1208,0,1000,1200,2835,
ITEM,8,1,0,14,9440,1208,0,1000,1200,975,0
ITEM,8,1,0,14,9440,1208,930,1000,1200,975,0
ITEM,8,1,0,14,9440,1208,1860,1000,1200,975,0
STACK,15,1,0,15,9470,0,0,1000,1200,2835,
ITEM,8,1,0,15,9470,0,0,1000,1200,975,0
ITEM,8,1,0,15,9470,0,930,1000,1200,975,0
ITEM,8,1,0,15,9470,0,1860,1000,1200,975,0
STACK,16,1,0,16,10440,1208,0,1000,1200,2835,
ITEM,8,1,0,16,10440,1208,0,1000,1200,975,0
ITEM,8,1,0,16,10440,1208,930,1000,1200,975,0
ITEM,8,1,0,16,10440,1208,1860,1000,1200,975,0
STACK,17,1,0,17,10470,0,0,1000,1200,2835,
ITEM,2,1,0,17,10470,0,0,1000,1200,975,0
ITEM,2,1,0,17,10470,0,930,1000,1200,975,0
