TYPE,ID,COPIES,BIN,X,LX
BIN,0,1,0,0,1000
ITEM,1,1,0,0,618
ITEM,27,1,0,618,296
ITEM,46,1,0,914,82
BIN,0,1,1,0,1000
ITEM,0,1,1,0,626
ITEM,21,1,1,626,374
BIN,0,1,2,0,1000
ITEM,9,1,2,0,523
ITEM,15,1,2,523,476
BIN,0,1,3,0,1000
ITEM,8,1,3,0,526
ITEM,16,1,3,526,472
BIN,0,1,4,0,1000
ITEM,11,1,4,0,500
ITEM,12,1,4,500,496
BIN,0,1,5,0,1000
ITEM,7,1,5,0,530
ITEM,17,1,5,530,463
BIN,0,1,6,0,1000
ITEM,2,1,6,0,617
ITEM,23,1,6,617,345
ITEM,47,1,6,962,38
BIN,0,1,7,0,1000
ITEM,3,1,7,0,606
ITEM,34,1,7,606,211
ITEM,36,1,7,817,181
BIN,0,1,8,0,1000
ITEM,5,1,8,0,561
ITEM,20,1,8,561,424
BIN,0,1,9,0,1000
ITEM,4,1,9,0,588
ITEM,26,1,9,588,303
ITEM,45,1,9,891,108
BIN,0,1,10,0,1000
ITEM,10,1,10,0,518
ITEM,24,1,10,518,319
ITEM,40,1,10,837,159
BIN,0,1,11,0,1000
ITEM,14,1,11,0,483
ITEM,22,1,11,483,346
ITEM,37,1,11,829,171
BIN,0,1,12,0,1000
ITEM,13,1,12,0,486
ITEM,29,1,12,486,276
ITEM,31,1,12,762,238
BIN,0,1,13,0,1000
ITEM,6,1,13,0,558
ITEM,28,1,13,558,278
ITEM,38,1,13,836,164
BIN,0,1,14,0,1000
ITEM,18,1,14,0,459
ITEM,25,1,14,459,318
ITEM,44,1,14,777,114
ITEM,45,1,14,891,108
BIN,0,1,15,0,1000
ITEM,19,1,15,0,452
ITEM,30,1,15,452,257
ITEM,41,1,15,709,157
ITEM,42,1,15,866,128
BIN,0,1,16,0,1000
ITEM,32,1,16,0,236
ITEM,33,1,16,236,216
ITEM,35,1,16,452,193
ITEM,39,1,16,645,161
ITEM,43,1,16,806,115
ITEM,48,1,16,921,35
